period,control_raw_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_LATE_HOLDOUT,8.5-8.99,C_CONFIDENCE_ONLY,76,9.257726328619075,8.578947368421053,-0.6787789601980224,4.238461963048122,4.903220384384987,2.77765877561871,0.23740853594805872,0.6674136842600868,0.09208710381901132
2026_LATE_HOLDOUT,8.5-8.99,D_LOW_DEPTH,76,9.25676378977928,8.578947368421053,-0.6778164213582282,4.238452998002668,4.902942258817007,2.777567960084015,0.23740387882924813,0.6674016521191478,0.09202505428379375
2026_LATE_HOLDOUT,9.0-9.49,A_CONTROL,8,9.220629419346007,11.875,2.654370580653992,4.37178575278597,6.30170459195747,3.5598356861302003,0.2099702131171802,0.6106218455605729,0.1429973676359233
2026_LATE_HOLDOUT,9.0-9.49,B_PARK_ONLY,8,9.751939983232006,11.875,2.1230600167679943,4.553088391681198,6.157384194677165,3.4699475385871335,0.20415127105415753,0.5968761943831906,0.16609426866361932
2026_LATE_HOLDOUT,9.0-9.49,C_CONFIDENCE_ONLY,8,9.94232252781039,11.875,1.9326774721896112,4.589523591959034,6.116885635064885,3.4399177476691465,0.20180184077180172,0.5911902244630857,0.10463331523204608
2026_LATE_HOLDOUT,9.0-9.49,D_LOW_DEPTH,8,9.93687328783956,11.875,1.9381267121604386,4.591135444145447,6.120521814076466,3.442777679583833,0.20203684464437163,0.5917123366107039,0.10478635896266067
2026_LATE_HOLDOUT,9.5-9.99,A_CONTROL,16,9.767936120630582,12.8125,3.044563879369419,5.204516762713246,6.561713781520393,3.7993654461662683,0.23390513576434735,0.659389846561918,0.19748400614827358
2026_LATE_HOLDOUT,9.5-9.99,B_PARK_ONLY,16,10.141875618631948,12.8125,2.670624381368052,5.129001557652742,6.478750434037702,3.7288309148812155,0.22576454298877277,0.6419071657475115,0.1697046191575947
2026_LATE_HOLDOUT,9.5-9.99,C_CONFIDENCE_ONLY,16,10.355299773609888,12.8125,2.4572002263901127,5.0609665797236,6.415800749874214,3.670611670911807,0.220677043679209,0.6314118054843835,0.17097281696021055
2026_LATE_HOLDOUT,9.5-9.99,D_LOW_DEPTH,16,10.352805835650859,12.8125,2.459694164349142,5.061998634958563,6.417382822357311,3.6716888947484465,0.22076622260532588,0.6316032829798326,0.17114917267545715
2026_LATE_HOLDOUT,>=10.0,A_CONTROL,12,10.185115303506436,11.75,1.5648846964935628,4.184180245521367,5.230462571479805,2.960128220066732,0.21857849638168914,0.6272220922658287,0.05845053694194097
2026_LATE_HOLDOUT,>=10.0,B_PARK_ONLY,12,10.248258362907638,11.75,1.5017416370923626,4.027372607660318,5.009040936794785,2.836087224988336,0.21090585384414276,0.6111378197056467,0.07684307941045503
2026_LATE_HOLDOUT,>=10.0,C_CONFIDENCE_ONLY,12,10.423029636215356,11.75,1.3269703637846455,4.126113885021187,5.009182673137437,2.8360826599554496,0.21053970066081537,0.6096689815592045,0.08803165339313276
2026_LATE_HOLDOUT,>=10.0,D_LOW_DEPTH,12,10.42268203478517,11.75,1.3273179652148286,4.124744855588047,5.008615645852012,2.835589698982227,0.21047750962444786,0.6095407439042311,0.08804453579804103
PROSPECTIVE_AUG06_15,<7.5,A_CONTROL,9,7.406928117087042,9.11111111111111,1.7041829940240685,3.161418695254882,4.005893399866731,2.302064227756258,0.2566328224927989,0.7189965079693424,0.14262170791418566
PROSPECTIVE_AUG06_15,<7.5,B_PARK_ONLY,9,8.087101542731098,9.11111111111111,1.0240095683800114,3.0423693895709563,3.716680997153788,2.136718295259457,0.23858151575110498,0.6733557994374367,0.08191202248951714
PROSPECTIVE_AUG06_15,<7.5,C_CONFIDENCE_ONLY,9,8.217077836202433,9.11111111111111,0.894033274908678,3.0962413038569485,3.703909739507998,2.1313336234163867,0.23880129548360093,0.6736322852696626,0.07694243342584173
PROSPECTIVE_AUG06_15,<7.5,D_LOW_DEPTH,9,8.214225261752723,9.11111111111111,0.8968858493583869,3.0965235346640494,3.704910358305773,2.13190155824004,0.2388753627654054,0.6738142556625418,0.07071141236274987
