period,feature,support_band,training_max,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_LATE_HOLDOUT,away_starter_prior_starts,ABOVE_TRAINING_MAX,66.0,D_LOW_DEPTH,156,8.927417637841323,9.153846153846153,0.2264285160048299,3.7137364586491435,4.487611111634399,2.531969284081361,0.23505659576731214,0.663133427670529,0.032719218733404255
PROSPECTIVE_AUG06_15,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,A_CONTROL,5,9.840288200324803,12.6,2.759711799675197,3.579361560965834,4.204653255556449,2.571940978323908,0.22212507308518975,0.6335224877063205,0.30648009538387827
PROSPECTIVE_AUG06_15,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,B_PARK_ONLY,5,9.649524029572907,12.6,2.9504759704270915,3.54055736257233,4.327950730769701,2.6383409302961214,0.22601151173702877,0.64300542204441,0.32169214396915635
PROSPECTIVE_AUG06_15,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,C_CONFIDENCE_ONLY,5,10.040479619986305,12.6,2.5595203800136948,3.389043598632058,4.043724085030711,2.475447429534007,0.20969214962010332,0.6067411839754719,0.2914674806858736
PROSPECTIVE_AUG06_15,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,D_LOW_DEPTH,5,10.038336373501282,12.6,2.561663626498717,3.3899337593080565,4.044419060724684,2.4758660953654505,0.209765454043644,0.6069035639034891,0.2916267367171546
PROSPECTIVE_AUG06_15,park_history_depth,ABOVE_TRAINING_MAX,161.0,A_CONTROL,121,7.978227435521138,8.446280991735538,0.4680535562143986,3.2527666006519818,4.087413104987049,2.303213947119702,0.22443984056861332,0.6411405644992345,0.05851434728829379
PROSPECTIVE_AUG06_15,park_history_depth,ABOVE_TRAINING_MAX,161.0,B_PARK_ONLY,121,8.54330802362603,8.446280991735538,-0.09702703189049336,3.2737164851125997,4.066948569792038,2.28265932777475,0.22167105023654934,0.634582354772584,0.02643982071722629
PROSPECTIVE_AUG06_15,park_history_depth,ABOVE_TRAINING_MAX,161.0,C_CONFIDENCE_ONLY,121,8.71379935225878,8.446280991735538,-0.2675183605232446,3.2663769477966706,4.04736110250933,2.2703715915652602,0.22004948844231714,0.6309297096143628,0.021923584356870876
PROSPECTIVE_AUG06_15,park_history_depth,ABOVE_TRAINING_MAX,161.0,D_LOW_DEPTH,121,8.711187672098438,8.446280991735538,-0.2649066803628993,3.2668319323286834,4.047908435622525,2.2706758942339476,0.22007987602458526,0.630996163813967,0.021602154216520626
PROSPECTIVE_AUG06_15,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,A_CONTROL,84,7.964989214876161,8.916666666666666,0.9516774517905064,3.0215869971202887,3.843110182542433,2.18896815820822,0.22164350847395256,0.6347973426936395,0.09271019035720693
