canonical_season,game_id,summary_rows,summary_teams,summary_home_rows,summary_goal_min,summary_goal_max,source_event_rows,source_goal_rows,source_home_team,source_away_team,final_home_before_so,final_away_before_so,final_home_goals,final_away_goals,score_status,authority_decision,summary_semantic_defect
2023,2023020048,2,2,1,0,0,81,4,VGK,DAL,2,2,3,2,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020049,2,2,1,0,0,74,7,OTT,WSH,6,1,6,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020050,2,2,1,0,0,86,9,DET,PIT,6,3,6,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020051,2,2,1,0,0,93,7,BUF,CGY,3,4,3,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020052,2,2,1,0,0,77,4,FLA,TOR,3,1,3,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020053,2,2,1,0,0,74,5,NYR,NSH,1,4,1,4,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020054,2,2,1,0,0,74,5,PHI,EDM,4,1,4,1,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020055,2,2,1,0,0,77,7,TBL,VAN,4,3,4,3,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020056,2,2,1,0,0,82,10,MIN,LAK,3,7,3,7,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
2023,2023020057,2,2,1,0,0,90,8,STL,ARI,2,6,2,6,QUALIFIED,RAW_SHOT_STAGE_SCORE_STATE_PLUS_GOAL_EVENTS; SHOOTOUT_WINNER_FLAG_ADDS_ONE,num_event_goal_for=0 on both team rows; not used as score
