league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,665489,Vladimir Guerrero Jr.,hits_runs_rbis,batter_h+r+rbi,1.5,0.700439,0.299561,-234,234,over,0.700439,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,665489,Vladimir Guerrero Jr.,singles,batter_singles,0.5,0.647977,0.352023,-184,184,over,0.647977,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,665489,Vladimir Guerrero Jr.,total_bases,batter_bases,1.5,0.589917,0.410083,-144,144,over,0.589917,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,575929,Willson Contreras,hits,batter_hits,0.5,0.541068,0.458932,-118,118,over,0.541068,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,575929,Willson Contreras,hits_runs_rbis,batter_h+r+rbi,1.5,0.543029,0.456971,-119,119,over,0.543029,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,575929,Willson Contreras,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,575929,Willson Contreras,total_bases,batter_bases,0.5,0.701473,0.298527,-235,235,over,0.701473,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,677800,Wilyer Abreu,hits,batter_hits,0.5,0.567953,0.432047,-131,131,over,0.567953,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,677800,Wilyer Abreu,hits_runs_rbis,batter_h+r+rbi,1.5,0.461602,0.538398,117,-117,under,0.538398,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,677800,Wilyer Abreu,singles,batter_singles,0.5,0.522474,0.477526,-109,109,over,0.522474,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,677800,Wilyer Abreu,total_bases,batter_bases,0.5,0.644098,0.355902,-181,181,over,0.644098,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,592450,Aaron Judge,hits,batter_hits,0.5,0.521798,0.478202,-109,109,over,0.521798,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,592450,Aaron Judge,hits_runs_rbis,batter_h+r+rbi,1.5,0.553153,0.446847,-124,124,over,0.553153,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,592450,Aaron Judge,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,592450,Aaron Judge,total_bases,batter_bases,1.5,0.57261,0.42739,-134,134,over,0.57261,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,457705,Andrew McCutchen,hits,batter_hits,0.5,0.347482,0.652518,188,-188,under,0.652518,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,457705,Andrew McCutchen,singles,batter_singles,0.5,0.477526,0.522474,109,-109,under,0.522474,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,457705,Andrew McCutchen,total_bases,batter_bases,0.5,0.46318,0.53682,116,-116,under,0.53682,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822906,R,TEX,NYY,669224,Austin Wells,hits,batter_hits,0.5,0.444867,0.555133,125,-125,under,0.555133,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
