player_id,game_id,team_id,opponent_id,is_home,game_date,season,season_5on5_icetime_per_game,season_5on5_shifts_per_game,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_pp,szn_shifts_per_game_pk,d5_sog_per60,d10_sog_per60,d20_sog_per60,attempts_d10_per60,rest_days,b2b_flag,pace_matchup_index
8477964,2025020710,54,19,True,2026-01-10,2025,,,15.1471014492754,0.952631578947368,0.4,1.52631578947368,1.2,,,,,2,False,1.08097075295581830000
8477969,2025020702,23,10,False,2026-01-10,2025,,,17.8952380952381,0.423333333333333,2.46825396825397,1.4,3.14285714285714,,,,,2,False,1.11372744243932790000
8477986,2025020706,55,12,False,2026-01-10,2025,,,19.3035714285714,2.1202380952381,0.8375,2.42857142857143,1.625,,,,,25,False,1.01545737398879900000
8477987,2025020707,16,18,False,2026-01-10,2025,,,13.0706666666667,1.85151515151515,0.322222222222222,2.31818181818182,1.16666666666667,,,,,1,True,0.88443061605476042428
8477989,2025020705,4,14,True,2026-01-10,2025,,,14.7075757575758,2.37051282051282,2.19848484848485,2.84615384615385,3.86363636363636,,,,,2,False,1.08097075295581830000
8477993,2025020698,20,5,False,2026-01-10,2025,,,7.86428571428571,0.41,1.85,0,3.16666666666667,,,,,2,False,0.94994399502177971496
8477998,2025020709,26,22,False,2026-01-10,2025,,,12.7079365079365,0.523076923076923,1.86746031746032,1.38461538461538,3.42857142857143,,,,,1,True,0.98270068450528936031
8478010,2025020705,14,4,False,2026-01-10,2025,,,14.1275,4.095,0.421666666666667,3.25,1.2,,,,,4,False,0.94994399502177971496
8478013,2025020709,22,26,True,2026-01-10,2025,,,20.0833333333333,0.92,1.08611111111111,1.4,1.5,,,,,51,False,0.94994399502177971496
8478020,2025020704,9,13,True,2026-01-10,2025,,,14.1492424242424,0.367857142857143,1.77156862745098,1.35714285714286,2.88235294117647,,,,,2,False,0.94994399502177971496
8478038,2025020699,21,29,True,2026-01-10,2025,,,18.2775,1.63166666666667,2.76333333333333,2.45,4.15,,,,,7,False,0.94994399502177971496
8478042,2025020697,6,3,True,2026-01-10,2025,,,11.8888888888889,2.175,0.197916666666667,2.27777777777778,1,,,,,2,False,0.91718730553827006962
8478043,2025020707,16,18,False,2026-01-10,2025,,,8.27962962962963,0.783333333333333,0.277777777777778,1,2,,,,,13,False,0.94994399502177971496
8478046,2025020699,29,21,False,2026-01-10,2025,,,9.53125,0.627777777777778,0.2625,1.66666666666667,1,,,,,4,False,1.04821406347230870000
8478047,2025020707,18,16,True,2026-01-10,2025,,,12.5693333333333,2.45466666666667,0.286666666666667,2.68,1,,,,,2,False,1.01545737398879900000
8478055,2025020704,13,9,False,2026-01-10,2025,,,18.5272727272727,0.876470588235294,3.34772727272727,1.88235294117647,4.36363636363636,,,,,2,False,0.94994399502177971496
8478057,2025020702,10,23,True,2026-01-10,2025,,,11.305,0.286666666666667,0.989285714285714,1,1.78571428571429,,,,,13,False,1.11372744243932790000
8478104,2025020703,8,17,True,2026-01-10,2025,,,8.49583333333333,0.35,0.129166666666667,1.25,1,,,,,2,False,1.04597137587261560000
