period,control_frozen_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
2026_SEQUENTIAL_EARLY,9.5-9.99,CONTROL_RAW,37,9.812892055438706,12.297297297297296,2.4844052418585925,4.914906598780278,7.034602418859292,3.7304108280986057,0.2227908424691908,0.6359357947556764,0.12388721630110794
2026_SEQUENTIAL_EARLY,9.5-9.99,REPAIRED,37,9.971085955058589,12.297297297297296,2.3262113422387074,5.099342154260102,7.200919194833514,3.8215389582336163,0.2336288572842144,0.6593433797548841,0.1130402855778569
2026_SEQUENTIAL_EARLY,>=10.0,CONTROL_RAW,47,10.287519870985681,11.425531914893616,1.1380120439079366,3.443405582403717,4.506304499035709,2.5674238583463245,0.20855726502632707,0.6055074782894391,0.1313934792284204
2026_SEQUENTIAL_EARLY,>=10.0,REPAIRED,47,10.169475504440042,11.425531914893616,1.2560564104535756,3.4573194191680297,4.529825368108156,2.5702983376150295,0.21040776484559556,0.6097220539853736,0.150476396361995
2026_LATE_HOLDOUT,<7.5,CONTROL_RAW,14,7.42021180476048,9.642857142857142,2.222645338096662,3.1533411347896783,4.622452745873976,2.535416751605614,0.23988267086923662,0.6761206538586203,0.1784625050021359
2026_LATE_HOLDOUT,<7.5,REPAIRED,14,8.155391755826104,9.642857142857142,1.487465387031039,3.1697360898744598,4.386832416660504,2.407165832850345,0.22910582724289455,0.6543847013388354,0.11303985337144797
2026_LATE_HOLDOUT,7.5-7.99,CONTROL_RAW,144,7.788793064095807,8.722222222222221,0.9334291581264154,3.2318166171127456,4.127338403857226,2.348457480774564,0.2335924771762685,0.6623820279997957,0.09100072524906078
2026_LATE_HOLDOUT,7.5-7.99,REPAIRED,144,8.328007758157625,8.722222222222221,0.3942144640645975,3.269030341364181,4.0704594420537035,2.3093603562979115,0.22921881265105254,0.6512061126129778,0.04353495700599381
2026_LATE_HOLDOUT,8.0-8.49,CONTROL_RAW,169,8.233683722809955,8.49112426035503,0.25744053754507573,3.709531552581894,4.698175296522981,2.5733486435457333,0.2280549895832373,0.6483381847890822,0.029879714995568428
2026_LATE_HOLDOUT,8.0-8.49,REPAIRED,169,8.73743795109054,8.49112426035503,-0.24631369073551115,3.8458132789374186,4.75092033623204,2.6121996498700266,0.23303529413947555,0.6588571367425835,0.049512954878476095
2026_LATE_HOLDOUT,8.5-8.99,CONTROL_RAW,76,8.678445380811862,8.578947368421053,-0.09949801239080894,4.07711575868888,4.86882073453602,2.750522952583152,0.23188373159382455,0.656348539429466,0.05873782783531613
