row_type,period,depth_group,variant,mean_depth,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,d_log_location_per_depth_game,mechanical_depth_suppression
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_15,CONTROL_RAW,15.0,,9.669759150500644,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_15,REPAIRED,15.0,,9.252154940453618,,,,,,,,,0.0,REMOVED
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_80.0438,CONTROL_RAW,80.043836180284,,9.315676930690813,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_80.0438,REPAIRED,80.043836180284,,9.252154940453618,,,,,,,,,0.0,REMOVED
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_153,CONTROL_RAW,153.0,,8.93392625525643,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_153,REPAIRED,153.0,,9.252154940453618,,,,,,,,,0.0,REMOVED
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_161,CONTROL_RAW,161.0,,8.89302900061223,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_161,REPAIRED,161.0,,9.252154940453618,,,,,,,,,0.0,REMOVED
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_301,CONTROL_RAW,301.0,,8.206883172485554,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_301,REPAIRED,301.0,,9.252154940453618,,,,,,,,,0.0,REMOVED
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_302,CONTROL_RAW,302.0,,8.20217761083318,,,,,,,,,-0.0005735321288036154,REMAINS_IN_CONTROL
SYNTHETIC_SAME_ROW,FIXED_ALL_OTHER_FEATURES,DEPTH_302,REPAIRED,302.0,,9.252154940453618,,,,,,,,,0.0,REMOVED
