population,feature,variant,games,mae,rmse,actual_minus_forecast_bias,absolute_bias,mean_forecast,median_forecast,crps,governed_total_line_brier,governed_total_line_log_loss,governed_total_line_ece,mae_delta,rmse_delta,absolute_bias_delta,champion_mae,champion_rmse,champion_absolute_bias
2026_SEQUENTIAL_EARLY,home_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,1281,3.516208593241002,4.495769621678438,0.5801762575373167,0.5801762575373167,8.409675420838953,8.286652868409421,2.5020824679366056,0.2265070124935432,0.6451293320851913,0.04999838407820212,-0.0047373760004036924,-0.004998326552378529,0.002743012690229585,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,1281,3.5221976728664934,4.501837862072474,0.574625382898041,0.574625382898041,8.415226295478227,8.296096431466847,2.5057445654044024,0.2269644975875935,0.6462087115633828,0.049515995321107134,0.0012517036250878633,0.001069913841657666,-0.002807861949046142,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,home_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,1281,3.521129379610415,4.50087122679053,0.5768978835632306,0.5768978835632306,8.412953794813038,8.286506711027629,2.505229908595544,0.22691048197137703,0.6460809535401332,0.04970707661268313,0.00018341036900926255,0.00010327855971414834,-0.0005353612838565613,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,away_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,1281,3.5214052893274843,4.500659190366,0.5793850060824058,0.5793850060824058,8.410466672293863,8.289953121641515,2.5049229655033822,0.2268891620216395,0.6460122197802685,0.049922148445916574,0.00045932008607874053,-0.00010875786481623351,0.0019517612353187053,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,strict_prior_total_run_factor,FROZEN_DIRECT_TERM_ABLATION,1281,3.5655393865533083,4.53903087035467,0.5178705023380421,0.5178705023380421,8.471981176038225,8.449016319384908,2.5272103740126535,0.22940469005175324,0.6514566823108828,0.04387140121202366,0.044593417311902694,0.038262922123853293,-0.05956274250904503,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,park_history_depth,FROZEN_DIRECT_TERM_ABLATION,1281,3.5946066203428106,4.4921066909859295,-0.3022714010637517,0.3022714010637517,9.292123079440021,9.198681625898914,2.4946094183493375,0.2256994530435547,0.643011053106156,0.024328531505928966,0.07366065110140507,-0.008661257244886755,-0.2751618437833354,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_SEQUENTIAL_EARLY,game_number,FROZEN_DIRECT_TERM_ABLATION,1281,3.5218078221079763,4.501089550699366,0.5754682125838341,0.5754682125838341,8.414383465792433,8.293520856627406,2.505445306958277,0.22694693884237274,0.6461659626644228,0.04958043939672799,0.0008618528665707004,0.00032160246854928687,-0.0019650322632530637,3.5209459692414056,4.500767948230816,0.5774332448470871
2026_LATE_HOLDOUT,UNALTERED_CHAMPION,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,439,3.6782613120044236,4.68092949277268,0.6610547573577193,0.6610547573577193,8.266052304145699,8.172518231997918,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,0.0,0.0,0.0,,,
2026_LATE_HOLDOUT,league_total,FROZEN_DIRECT_TERM_ABLATION,439,3.6735678873225823,4.701718088266142,0.7936783965822705,0.7936783965822705,8.133428664921146,8.035940530336454,2.6142766020903236,0.23162809164088402,0.6571365473330686,0.055242252260836185,-0.004693424681841307,0.020788595493461237,0.13262363922455112,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,home_offense,FROZEN_DIRECT_TERM_ABLATION,439,3.6799901516221247,4.680652708710004,0.6459645882987287,0.6459645882987287,8.281142473204689,8.167760606586215,2.602422091839777,0.23059828094308105,0.6545372404209572,0.04291131799968909,0.0017288396177010945,-0.000276784062676505,-0.015090169058990632,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,home_prevention,FROZEN_DIRECT_TERM_ABLATION,439,3.6787677907037644,4.678888521033036,0.6689832752734303,0.6689832752734303,8.258123786229987,8.134146357296459,2.601787116203705,0.23059796166838858,0.6546162286959705,0.04523661779018266,0.0005064786993407289,-0.0020409717396443483,0.00792851791571092,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,away_offense,FROZEN_DIRECT_TERM_ABLATION,439,3.6799298257562145,4.679225055562866,0.6473097125160776,0.6473097125160776,8.279797348987339,8.165244304511885,2.6013383830443275,0.23049122375201403,0.654265227027821,0.042504108401788955,0.00166851375179089,-0.0017044372098142802,-0.01374504484164174,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,away_prevention,FROZEN_DIRECT_TERM_ABLATION,439,3.67922714452958,4.681205460745113,0.6757098499802788,0.6757098499802788,8.251397211523138,8.134650539459185,2.6025289117908232,0.23060332166073283,0.6545083898298185,0.04496688519709274,0.0009658325251562516,0.0002759679724322339,0.014655092622559485,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,home_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,439,3.6766275101262926,4.674425990591114,0.6475358149744305,0.6475358149744305,8.279571246528986,8.179272132149352,2.5988295885717365,0.23017354004586352,0.653465916971775,0.04376800071318398,-0.0016338018781310026,-0.006503502181566034,-0.013518942383288879,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,away_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,439,3.6808293491476127,4.6829401544437355,0.653826994548759,0.653826994548759,8.273280066954658,8.174652455099055,2.6035906446603696,0.2306975927339783,0.6547063026409555,0.04343000976234797,0.0025680371431890947,0.002010661671055125,-0.007227762808960314,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,home_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,439,3.673921375833645,4.722020355166058,0.8836322077671704,0.8836322077671704,8.043474853736246,7.937337292655716,2.62548203354123,0.23254746936555207,0.6595815096566551,0.06314770192751987,-0.004339936170778547,0.04109086239337767,0.2225774504094511,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,away_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,439,3.6790569965391615,4.684065549394758,0.6762478366383491,0.6762478366383491,8.250859224865067,8.160818020053954,2.604353594126008,0.2307638647301344,0.6549157701235724,0.04614459226583116,0.0007956845347378838,0.0031360566220772768,0.01519307928062974,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,home_expected_outs,FROZEN_DIRECT_TERM_ABLATION,439,3.6714708477900437,4.6774830941753,0.6680279486879704,0.6680279486879704,8.259079112815447,8.166112488176772,2.598244169313229,0.2299978075166475,0.6531072508270621,0.0442757022393452,-0.006790464214379899,-0.0034463985973802735,0.006973191330251094,3.6782613120044236,4.68092949277268,0.6610547573577193
2026_LATE_HOLDOUT,away_expected_outs,FROZEN_DIRECT_TERM_ABLATION,439,3.678025759596956,4.679890864719642,0.6528917948181213,0.6528917948181213,8.274215266685296,8.176997523264541,2.6015572872288035,0.23045482657257066,0.654173980779746,0.043310796885736955,-0.00023555240746775397,-0.0010386280530383374,-0.008162962539598029,3.6782613120044236,4.68092949277268,0.6610547573577193
