slate_date,game_pk,player_mlb_id,player,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,hit_by_pitch,sacrifice_flies,recomputed_tb_components,recomputed_tb_equivalent,official_total_bases,decision
2026-07-29,824242,683002,Gunnar Henderson,6,5,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,687952,Christian Encarnacion-Strand,6,6,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,693307,Dillon Dingler,6,6,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,701678,Hao-Yu Lee,3,2,0,0,0,0,0,0,0,1,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824242,805808,Kevin McGonigle,6,5,0,0,0,0,0,0,0,1,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,553993,Eugenio Suárez,4,4,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,608070,José Ramírez,6,6,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,663886,Tyler Stephenson,4,3,1,1,0,0,0,1,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,668709,JJ Bleday,1,0,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,672275,Patrick Bailey,5,3,0,0,0,0,0,1,0,1,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,672356,Gabriel Arias,5,4,2,1,1,0,0,1,0,0,3,3,3,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,677587,Brayan Rocchio,5,5,1,0,1,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,680757,Steven Kwan,6,5,2,2,0,0,0,0,0,1,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,682657,Angel Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,682829,Elly De La Cruz,5,4,0,0,0,0,0,1,0,0,0,0,0,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,683953,Travis Bazzana,5,5,2,2,0,0,0,0,0,0,2,2,2,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,690984,Petey Halpin,5,5,1,1,0,0,0,0,0,0,1,1,1,TB_ARITHMETIC_CERTIFIED
2026-07-29,824487,700932,Kyle Manzardo,5,3,1,0,0,0,1,2,0,0,4,4,4,TB_ARITHMETIC_CERTIFIED
