slate_date,game_pk,player_mlb_id,player,governing_capture,market_timestamp,settlement_side,final_odds,outcome,risk,gross_winning_profit,net_result,decision
2026-07-29,823022,691458,Blaze Jordan,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,171,WIN,5.00,8.55,8.55,SETTLEMENT_CERTIFIED
2026-07-29,823022,691458,Blaze Jordan,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-227,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,691718,Pete Crow-Armstrong,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,110,WIN,5.00,5.5,5.5,SETTLEMENT_CERTIFIED
2026-07-29,823022,691718,Pete Crow-Armstrong,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-143,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,699393,Pedro Ramírez,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,155,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,699393,Pedro Ramírez,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-204,WIN,5.00,2.450980392156863,2.450980392156863,SETTLEMENT_CERTIFIED
2026-07-29,823022,802139,JJ Wetherholt,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Over,155,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823022,802139,JJ Wetherholt,cleanroom_20260729T233728Z,2026-07-29T23:37:30+00:00,Under,-204,WIN,5.00,2.450980392156863,2.450980392156863,SETTLEMENT_CERTIFIED
2026-07-29,823192,592885,Christian Yelich,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,161,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,592885,Christian Yelich,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-213,WIN,5.00,2.347417840375587,2.347417840375587,SETTLEMENT_CERTIFIED
2026-07-29,823192,641343,Jake Bauers,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,161,WIN,5.00,8.05,8.05,SETTLEMENT_CERTIFIED
2026-07-29,823192,641343,Jake Bauers,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-213,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,642715,Willy Adames,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Over,178,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,642715,Willy Adames,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Under,-238,WIN,5.00,2.100840336134454,2.100840336134454,SETTLEMENT_CERTIFIED
2026-07-29,823192,646240,Rafael Devers,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,152,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,646240,Rafael Devers,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-200,WIN,5.00,2.5,2.5,SETTLEMENT_CERTIFIED
2026-07-29,823192,650333,Luis Arraez,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,113,WIN,5.00,5.65,5.65,SETTLEMENT_CERTIFIED
2026-07-29,823192,650333,Luis Arraez,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-147,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,661388,William Contreras,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Over,134,LOSS,5.00,,,NO_ACTION
2026-07-29,823192,661388,William Contreras,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Under,-175,WIN,5.00,,,NO_ACTION
2026-07-29,823192,668930,Brice Turang,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,124,WIN,5.00,6.2,6.2,SETTLEMENT_CERTIFIED
2026-07-29,823192,668930,Brice Turang,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-161,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,669003,Garrett Mitchell,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,178,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,669003,Garrett Mitchell,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-238,WIN,5.00,2.100840336134454,2.100840336134454,SETTLEMENT_CERTIFIED
2026-07-29,823192,671218,Heliot Ramos,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,117,WIN,5.00,5.85,5.85,SETTLEMENT_CERTIFIED
2026-07-29,823192,671218,Heliot Ramos,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-152,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,683734,Andrew Vaughn,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Over,164,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,683734,Andrew Vaughn,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Under,-217,WIN,5.00,2.304147465437788,2.304147465437788,SETTLEMENT_CERTIFIED
2026-07-29,823192,694192,Jackson Chourio,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,115,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,694192,Jackson Chourio,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-149,WIN,5.00,3.3557046979865772,3.3557046979865772,SETTLEMENT_CERTIFIED
2026-07-29,823192,805811,Bryce Eldridge,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,164,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,805811,Bryce Eldridge,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-217,WIN,5.00,2.304147465437788,2.304147465437788,SETTLEMENT_CERTIFIED
2026-07-29,823192,806198,Cooper Pratt,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Over,178,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823192,806198,Cooper Pratt,cleanroom_20260729T162627Z,2026-07-29T16:24:37+00:00,Under,-238,WIN,5.00,2.100840336134454,2.100840336134454,SETTLEMENT_CERTIFIED
2026-07-29,823192,808982,Jung Hoo Lee,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Over,144,WIN,5.00,7.2,7.2,SETTLEMENT_CERTIFIED
2026-07-29,823192,808982,Jung Hoo Lee,cleanroom_20260729T175530Z,2026-07-29T17:55:01+00:00,Under,-189,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,592518,Manny Machado,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,109,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,592518,Manny Machado,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-141,WIN,5.00,3.5460992907801416,3.5460992907801416,SETTLEMENT_CERTIFIED
2026-07-29,823273,593428,Xander Bogaerts,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,158,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,593428,Xander Bogaerts,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-208,WIN,5.00,2.4038461538461537,2.4038461538461537,SETTLEMENT_CERTIFIED
2026-07-29,823273,630105,Jake Cronenworth,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,134,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,630105,Jake Cronenworth,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-175,WIN,5.00,2.857142857142857,2.857142857142857,SETTLEMENT_CERTIFIED
2026-07-29,823273,650859,Luis Rengifo,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,167,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,650859,Luis Rengifo,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-222,WIN,5.00,2.2522522522522523,2.2522522522522523,SETTLEMENT_CERTIFIED
2026-07-29,823273,657757,Gavin Sheets,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,161,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,657757,Gavin Sheets,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-213,WIN,5.00,2.347417840375587,2.347417840375587,SETTLEMENT_CERTIFIED
2026-07-29,823273,664034,Ty France,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,124,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,664034,Ty France,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-161,WIN,5.00,3.1055900621118013,3.1055900621118013,SETTLEMENT_CERTIFIED
2026-07-29,823273,664983,Jake McCarthy,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,144,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,664983,Jake McCarthy,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-189,WIN,5.00,2.6455026455026456,2.6455026455026456,SETTLEMENT_CERTIFIED
2026-07-29,823273,665487,Fernando Tatis Jr.,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,-102,WIN,5.00,4.901960784313726,4.901960784313726,SETTLEMENT_CERTIFIED
2026-07-29,823273,665487,Fernando Tatis Jr.,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-127,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,666160,Mickey Moniak,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,146,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,666160,Mickey Moniak,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-192,WIN,5.00,2.6041666666666665,2.6041666666666665,SETTLEMENT_CERTIFIED
2026-07-29,823273,681198,TJ Rumfield,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,182,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,681198,TJ Rumfield,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-244,WIN,5.00,2.0491803278688523,2.0491803278688523,SETTLEMENT_CERTIFIED
2026-07-29,823273,694249,Cole Carrigg,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,158,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,694249,Cole Carrigg,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-208,WIN,5.00,2.4038461538461537,2.4038461538461537,SETTLEMENT_CERTIFIED
2026-07-29,823273,696100,Hunter Goodman,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,126,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,696100,Hunter Goodman,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-164,WIN,5.00,3.048780487804878,3.048780487804878,SETTLEMENT_CERTIFIED
2026-07-29,823273,701538,Jackson Merrill,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Over,117,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,823273,701538,Jackson Merrill,cleanroom_20260729T194916Z,2026-07-29T19:49:37+00:00,Under,-152,WIN,5.00,3.289473684210526,3.289473684210526,SETTLEMENT_CERTIFIED
2026-07-29,823351,545121,Ildemaro Vargas,cleanroom_20260729T162627Z,2026-07-29T16:26:25+00:00,Over,186,WIN,5.00,9.3,9.3,SETTLEMENT_CERTIFIED
2026-07-29,823351,545121,Ildemaro Vargas,cleanroom_20260729T162627Z,2026-07-29T16:26:25+00:00,Under,-250,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
