slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|823273|650859|Total Bases|1.5,823273|650859,1,Luis Rengifo,Luis Rengifo,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|657757|Total Bases|1.5,823273|657757,1,Gavin Sheets,Gavin Sheets,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|664034|Total Bases|1.5,823273|664034,1,Ty France,Ty France,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|664983|Total Bases|1.5,823273|664983,1,Jake McCarthy,Jake McCarthy,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|665487|Total Bases|1.5,823273|665487,1,Fernando Tatis Jr.,Fernando Tatis Jr.,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|666160|Total Bases|1.5,823273|666160,1,Mickey Moniak,Mickey Moniak,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|681198|Total Bases|1.5,823273|681198,1,TJ Rumfield,TJ Rumfield,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|694249|Total Bases|1.5,823273|694249,1,Cole Carrigg,Cole Carrigg,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|696100|Total Bases|1.5,823273|696100,1,Hunter Goodman,Hunter Goodman,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823273|701538|Total Bases|1.5,823273|701538,1,Jackson Merrill,Jackson Merrill,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|545121|Total Bases|1.5,823351|545121,1,Ildemaro Vargas,Ildemaro Vargas,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823351|571448|Total Bases|1.5,823351|571448,1,Nolan Arenado,Nolan Arenado,EXACT_ONE_TO_ONE_MATCH
