slate_date,partition,game_pk,player_mlb_id,books_observed,books_executable,betonline_odds,best_observed_book,best_observed_odds,best_executable_book,best_executable_odds,median_odds,american_odds_improvement_vs_betonline,break_even_improvement_vs_betonline
2026-05-03,DESIGN,823387,701398,6,1,-179.0,bovada,-170.0,betonlineag,-179.0,-175.0,9.0,0.01194743130226994
2026-05-03,DESIGN,823555,621493,2,1,-227.0,mybookieag,-224.0,betonlineag,-227.0,-225.4900221729491,3.0,0.002831577755125214
2026-05-03,DESIGN,823555,641933,2,1,-222.0,mybookieag,-220.0,betonlineag,-222.0,-220.9954751131221,2.0,0.0019409937888198447
2026-05-03,DESIGN,823555,663757,2,1,-200.0,mybookieag,-199.0,betonlineag,-200.0,-199.49874686716794,1.0,0.0011148272017836858
2026-05-03,DESIGN,823555,665862,2,1,-217.0,mybookieag,-216.0,betonlineag,-217.0,-216.4988452655889,1.0,0.000998282953320273
2026-05-03,DESIGN,823555,691176,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-03,DESIGN,823711,605137,5,1,-189.0,bovada,-180.0,betonlineag,-189.0,-189.0,9.0,0.011122095897182382
2026-05-03,DESIGN,823711,662139,6,1,-175.0,fanatics,-165.0,betonlineag,-175.0,-175.49857549857552,10.0,0.013722126929674117
2026-05-03,DESIGN,823711,665019,2,1,-204.0,betonlineag,-204.0,betonlineag,-204.0,-203.99999999999997,0.0,0.0
2026-05-03,DESIGN,823711,665489,5,1,-125.0,bovada,-120.0,betonlineag,-125.0,-124.00000000000001,5.0,0.010101010101010166
2026-05-03,DESIGN,823711,668904,2,1,-244.0,mybookieag,-240.0,betonlineag,-244.0,-241.98347107438013,4.0,0.0034199726402188713
2026-05-03,DESIGN,823711,670242,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-03,DESIGN,823711,680777,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-03,DESIGN,823711,807712,2,1,-244.0,mybookieag,-240.0,betonlineag,-244.0,-241.98347107438013,4.0,0.0034199726402188713
2026-05-03,DESIGN,823875,592663,5,1,-213.0,williamhill_us,-193.0,betonlineag,-213.0,-211.0,20.0,0.021808110436271178
2026-05-03,DESIGN,823875,664761,4,1,-192.0,williamhill_us,-182.0,betonlineag,-192.0,-191.99999999999994,10.0,0.01214417565335657
2026-05-03,DESIGN,823875,669065,2,1,-250.0,mybookieag,-246.0,betonlineag,-250.0,-247.9838709677419,4.0,0.003303055326176696
2026-05-03,DESIGN,823875,681082,5,1,-192.0,betonlineag,-192.0,betonlineag,-192.0,-197.0,0.0,0.0
2026-05-03,DESIGN,823875,682663,2,1,-204.0,betonlineag,-204.0,betonlineag,-204.0,-203.99999999999997,0.0,0.0
2026-05-03,DESIGN,824043,543760,5,1,-185.0,bovada,-170.0,betonlineag,-185.0,-178.99999999999997,15.0,0.01949317738791423
2026-05-03,DESIGN,824043,620443,2,1,-233.0,betonlineag,-233.0,betonlineag,-233.0,-233.4989293361884,0.0,0.0
2026-05-03,DESIGN,824043,621438,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-03,DESIGN,824043,666139,2,1,-233.0,betonlineag,-233.0,betonlineag,-233.0,-233.4989293361884,0.0,0.0
2026-05-03,DESIGN,824043,666182,6,1,-130.0,bovada,-120.0,betonlineag,-130.0,-126.9291338582677,10.0,0.01976284584980237
2026-05-03,DESIGN,824043,668901,6,1,-192.0,williamhill_us,-182.0,betonlineag,-192.0,-185.0,10.0,0.01214417565335657
2026-05-03,DESIGN,824043,669004,6,1,-167.0,williamhill_us,-159.0,betonlineag,-167.0,-169.4985250737463,8.0,0.01156855089439357
2026-05-03,DESIGN,824043,683146,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-03,DESIGN,824043,687263,6,1,-182.0,betmgm,-175.0,betonlineag,-182.0,-183.48773841961852,7.0,0.009026434558349505
2026-05-03,DESIGN,824043,694384,5,1,-222.0,williamhill_us,-213.0,betonlineag,-222.0,-221.00000000000003,9.0,0.008929811680193689
2026-05-03,DESIGN,824043,701807,5,1,-185.0,williamhill_us,-182.0,betonlineag,-185.0,-185.0,3.0,0.0037327360955580202
2026-05-03,DESIGN,824285,543309,2,1,-208.0,betonlineag,-208.0,betonlineag,-208.0,-209.98095238095235,0.0,0.0
2026-05-03,DESIGN,824285,608369,5,1,-159.0,draftkings,-156.0,betonlineag,-159.0,-159.00000000000003,3.0,0.004524613899613894
2026-05-03,DESIGN,824285,664059,2,1,-250.0,betonlineag,-250.0,betonlineag,-250.0,-250.00000000000006,0.0,0.0
2026-05-03,DESIGN,824285,669394,5,1,-172.0,bovada,-165.0,betonlineag,-172.0,-169.99999999999997,7.0,0.009711431742508325
2026-05-03,DESIGN,824285,677649,2,1,-222.0,betonlineag,-222.0,betonlineag,-222.0,-222.99551569506727,0.0,0.0
2026-05-03,DESIGN,824364,573262,2,1,-208.0,mybookieag,-204.0,betonlineag,-208.0,-205.98058252427182,4.0,0.0042720437457279825
2026-05-03,DESIGN,824364,621566,6,1,-128.0,betmgm,-120.0,betonlineag,-128.0,-132.96992481203011,8.0,0.01594896331738438
2026-05-03,DESIGN,824364,622761,2,1,-213.0,betonlineag,-213.0,betonlineag,-213.0,-214.4895104895104,0.0,0.0
2026-05-03,DESIGN,824364,641680,4,1,-175.0,betmgm,-165.0,betonlineag,-175.0,-172.46376811594197,10.0,0.013722126929674117
2026-05-03,DESIGN,824364,642201,6,1,-169.0,betmgm,-155.0,betonlineag,-169.0,-172.90751445086704,14.0,0.020409650849187333
