date,capture_file,observations,games,players,hits05,hits15,paired,pregame,poststart_or_unresolved,earliest,latest
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T200001Z.json,502,13,251,442,60,251,502,0,2026-06-22T20:00:34.011575+00:00,2026-06-22T20:00:34.011575+00:00
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_daily_20260622T233000Z.json,276,7,138,232,44,138,276,0,2026-06-22T23:30:35.102847+00:00,2026-06-22T23:30:35.102847+00:00
2026-06-22,backend/mlb/exports/odds_history/2026-06-22/odds_mlb_playerprops__local_prewarm_20260622T103001Z.json,330,9,165,300,30,165,330,0,2026-06-22T10:31:08.959355+00:00,2026-06-22T10:31:08.959355+00:00
2026-06-23,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T123004Z.json,510,14,255,436,74,255,510,0,2026-06-23T12:32:57.291763+00:00,2026-06-23T12:32:57.291763+00:00
2026-06-23,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T163000Z.json,550,15,275,476,74,275,550,0,2026-06-23T16:30:32.711178+00:00,2026-06-23T16:30:32.711178+00:00
2026-06-23,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T180004Z.json,560,15,280,486,74,280,560,0,2026-06-23T18:00:36.815009+00:00,2026-06-23T18:00:36.815009+00:00
2026-06-23,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T200003Z.json,547,15,273,476,71,273,547,0,2026-06-23T20:00:35.188952+00:00,2026-06-23T20:00:35.188952+00:00
2026-06-23,backend/mlb/exports/odds_history/2026-06-23/odds_mlb_playerprops__local_daily_20260623T233000Z.json,316,8,158,270,46,158,278,38,2026-06-23T23:30:32.778964+00:00,2026-06-23T23:30:32.778964+00:00
2026-06-24,backend/mlb/exports/odds_history/2026-06-24/odds_mlb_playerprops__local_daily_20260624T123004Z.json,520,14,260,452,68,260,520,0,2026-06-24T12:33:28.178482+00:00,2026-06-24T12:33:28.178482+00:00
2026-06-24,backend/mlb/exports/odds_history/2026-06-24/odds_mlb_playerprops__local_daily_20260624T163002Z.json,522,14,261,444,78,261,522,0,2026-06-24T16:30:38.825952+00:00,2026-06-24T16:30:38.825952+00:00
