game_pk,player_mlb_id,player,partition,normal_player_stats_row_count,classification,stored_game_date,position,is_starter,plate_appearances,at_bats,hits,doubles,triples,home_runs,stored_total_bases,pa_source,pa_backfilled_at
824323,666160,Mickey Moniak,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,5,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,670231,John Rave,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824323,671289,Tyler Freeman,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824323,678662,Ezequiel Tovar,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,679845,Nick Loftin,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,681198,TJ Rumfield,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
824323,686475,Tyler Tolbert,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,686555,Isaac Collins,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824323,687859,Troy Johnston,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
824323,691720,Kyle Karros,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
824323,694249,Cole Carrigg,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,4,3,1,0,0,4,statsapi,2026-08-03 12:42:12.988997+00:00
824323,695600,Carter Jensen,FORMERLY_LINEUP_NOT_CONFIRMED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824323,696100,Hunter Goodman,FORMERLY_LINEUP_NOT_CONFIRMED,0,LOCAL_ROW_MISSING,,,,,,,,,,,,
