scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2025-07-27,15,8.470035703438954,7.466666666666667,-1.0033690367722883,-1.8360410843162,2.2843258151353663,2.877808815047599
DATE,2025-07-28,15,8.69507274817269,9.533333333333333,0.8382605851606442,0.09497723049302387,3.4154400407849765,4.155943922386193
DATE,2025-07-29,16,8.707488983256766,10.6875,1.980011016743235,3.212616818710217,3.9017612199845555,4.688871058988168
DATE,2025-07-30,15,8.691392327952958,8.333333333333334,-0.35805899461962293,0.26783600405931374,3.608731773946491,4.491017108644753
DATE,2025-07-31,3,8.554510132821775,13.333333333333334,4.778823200511558,2.171049213973996,6.175240558412658,8.415260680259184
DATE,2025-08-01,15,8.755652310360327,10.466666666666667,1.7110143563063382,-1.1908947017796017,6.208784701553964,9.039238813190279
DATE,2025-08-02,15,8.879126980006964,8.666666666666666,-0.21246031334029822,0.4723698482946528,3.570788956349731,4.5228134084729135
DATE,2025-08-03,14,8.768283807103689,9.928571428571429,1.1602876214677391,0.9690900184364861,3.3883925947068976,4.427915018327914
DATE,2025-08-04,13,8.768225676140236,9.76923076923077,1.001005093090532,0.7570384105181311,3.3446501710280643,3.8968672811483414
DATE,2025-08-05,15,8.71351700235644,10.266666666666667,1.5531496643102265,0.8594457462023577,3.7619322045867976,5.278230097031539
DATE,2025-08-06,15,8.630355601483144,8.733333333333333,0.10297773185018831,-0.1989891890231945,3.1101255337585627,4.066296384744397
DATE,2025-08-07,4,8.218780963036904,8.5,0.2812190369630956,-1.071666651729514,2.6913023798941405,3.351467594306214
DATE,2025-08-08,15,8.28164092256766,7.8,-0.48164092256766117,-2.283736069389775,2.9451951067763913,3.1861530756379084
DATE,2025-08-09,16,8.21674210249015,8.625,0.40825789750985053,1.2235673102051194,2.9751117218179775,3.547868016972762
DATE,2025-08-10,15,8.348122437872199,10.133333333333333,1.785210895461135,0.09414134205632685,3.2493006151563484,5.054740179196704
DATE,2025-08-11,11,8.68179950793863,8.454545454545455,-0.22725405339317428,-0.18757938329682844,2.865568769005887,3.321119442901567
DATE,2025-08-12,15,8.555557351251469,9.266666666666667,0.7111093154151973,-1.1634030077635007,4.389848523462911,5.016592049059551
DATE,2025-08-13,15,8.513542224015994,10.066666666666666,1.553124442650673,1.6348767999404767,4.224320856084258,5.164603362709946
DATE,2025-08-14,7,8.680700226732535,7.571428571428571,-1.109271655303963,-1.2670764421200662,2.4298224507623964,3.136466960441097
DATE,2025-08-15,15,8.700650521568475,8.666666666666666,-0.03398385490180918,-1.6250598990793623,4.26980875404139,5.202376977222358
DATE,2025-08-16,15,8.64316111494133,9.666666666666666,1.0235055517253349,1.12620846913748,4.200491942162161,5.0616438335297955
DATE,2025-08-17,15,8.847710680258249,10.533333333333333,1.6856226530750826,0.4850078035020289,2.460491369349356,3.862265674363244
DATE,2025-08-18,12,8.786218798134135,9.583333333333334,0.7971145351991998,-1.063889882612493,3.8488708562918403,5.575255599386992
DATE,2025-08-19,16,8.834068724022103,9.875,1.0409312759778988,1.1389681745164717,3.30034367267856,4.633843517187681
DATE,2025-08-20,14,8.699896316417943,7.357142857142857,-1.3427534592750863,-0.3320652500129784,2.497608476711011,3.3639941173071755
DATE,2025-08-21,9,8.906941402209599,10.333333333333334,1.4263919311237354,1.493681283725854,2.099698293907921,2.4402559077204313
DATE,2025-08-22,15,8.405221055264791,9.733333333333333,1.328112278068541,0.766947458022317,4.300683943564628,5.36447723650042
DATE,2025-08-23,14,8.407989652601243,9.785714285714286,1.3777246331130415,1.9348915382164393,3.1183565794429,3.7038727438244816
