population,candidate_id,metric,date_clusters,bootstrap_draws,point_delta_joint_minus_champion,ci95_low,ci95_high,fraction_draws_favoring_champion_retention,unadjusted_two_sided_bootstrap_p,seed
2026_LATE_HOLDOUT,S2_12,crps,33,10000,0.02301976954493986,-0.013012251268912948,0.06231600317652883,0.8881,0.2238,20260831
2026_LATE_HOLDOUT,S2_12,brier,33,10000,0.0016592532729071438,-0.002239527775233572,0.005766424787799338,0.7881,0.4238,20260831
2026_LATE_HOLDOUT,S2_12,log_loss,33,10000,0.0034530086760354703,-0.0054952375563857275,0.012978824696190607,0.7633,0.4734,20260831
2026_LATE_HOLDOUT,S2_13,mae,33,10000,0.028589065174063684,-0.01647468524714337,0.0766034492157574,0.8904,0.2192,20260831
2026_LATE_HOLDOUT,S2_13,crps,33,10000,0.018391832602600664,-0.012695173965143051,0.05244473937908839,0.8713,0.2574,20260831
2026_LATE_HOLDOUT,S2_13,brier,33,10000,0.0012041156423660431,-0.002162839384447427,0.004784149287196716,0.7491,0.5018,20260831
2026_LATE_HOLDOUT,S2_13,log_loss,33,10000,0.002387815819441931,-0.005338144863601513,0.010553802446289662,0.7157,0.5686,20260831
2026_LATE_HOLDOUT,S2_14,mae,33,10000,0.18598537393716602,0.07593033471455483,0.2937040103836511,0.9996,0.0008,20260831
2026_LATE_HOLDOUT,S2_14,crps,33,10000,0.01994790394834268,-0.04429627632261974,0.08345263110098576,0.7296,0.5408,20260831
2026_LATE_HOLDOUT,S2_14,brier,33,10000,0.0029757173827988223,-0.004842380874881861,0.010807934126230852,0.7731,0.4538,20260831
2026_LATE_HOLDOUT,S2_14,log_loss,33,10000,0.0052963814653822815,-0.012352026213635403,0.022821722772597596,0.726,0.548,20260831
2026_LATE_HOLDOUT,S2_15,mae,33,10000,0.10248412432673815,0.037373997318286556,0.1651542266096493,0.9989,0.0022,20260831
2026_LATE_HOLDOUT,S2_15,crps,33,10000,-0.018660347872115256,-0.06143279138288523,0.022480742446992625,0.1949,0.3898,20260831
2026_LATE_HOLDOUT,S2_15,brier,33,10000,-0.0009654523155931024,-0.005950500748293784,0.003979931600996473,0.3488,0.6976,20260831
2026_LATE_HOLDOUT,S2_15,log_loss,33,10000,-0.0031595459611136554,-0.014503943424899048,0.007979076414996254,0.2885,0.577,20260831
PROSPECTIVE_AUG17_28_CLEAN_RAW,S2_01,mae,12,10000,0.003938865302058738,-0.004196805430017476,0.011097361857184544,0.834,0.332,20260831
PROSPECTIVE_AUG17_28_CLEAN_RAW,S2_01,crps,12,10000,-0.0016738203882680329,-0.007415163817523614,0.003042326463251695,0.248,0.496,20260831
PROSPECTIVE_AUG17_28_CLEAN_RAW,S2_01,brier,12,10000,-0.00011218953100339998,-0.0008121691101761436,0.0005147360080282945,0.3561,0.7122,20260831
PROSPECTIVE_AUG17_28_CLEAN_RAW,S2_01,log_loss,12,10000,-0.00035482473921849593,-0.0019866674833214186,0.0011127116762887205,0.3097,0.6194,20260831
