candidate_id,candidate_type,features_pipe,population,games,mae,rmse,actual_minus_forecast_bias,crps,brier,log_loss,ece,mean_forecast,champion_mae,champion_rmse,champion_actual_minus_forecast_bias,champion_crps,champion_brier,champion_log_loss,champion_ece,mae_delta,rmse_delta,actual_minus_forecast_bias_delta,crps_delta,brier_delta,log_loss_delta,ece_delta,constituent_single_mae_deltas,constituent_single_rmse_deltas,constituent_single_actual_minus_forecast_bias_deltas,constituent_single_crps_deltas,constituent_single_brier_deltas,constituent_single_log_loss_deltas,constituent_single_ece_deltas
S2_03,PAIR,home_starter_ra9|away_starter_ra9,FROZEN_2025_VALIDATION,2433,3.601671940796779,4.594555623808989,0.2022898873337844,2.5336247662565894,0.22741870984167648,0.6468144242084806,0.01621506168515206,8.685913976209166,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.004465304630242972,0.0028937920152971586,-0.01275751268828304,0.0020289876425567677,0.00023312583852660995,0.0005177671941526407,-0.0002523769675313141,"[0.004143655184650985, 0.0001522056224589896]","[0.0028145093834668344, 7.097898843166917e-05]","[-0.010222798177415532, -0.002531356657080125]","[0.0019132562041286327, 0.00011206377605166296]","[0.00023082579406233372, 1.6752688116183911e-06]","[0.0005095817407666514, 7.338293352088243e-06]","[0.0008675432303968736, -0.0006401437516796449]"
S2_03,PAIR,home_starter_ra9|away_starter_ra9,2026_SEQUENTIAL_EARLY,1281,3.5255946165366705,4.5003903261388585,0.5573065398219217,2.5049618028197633,0.22690712978467634,0.6460162630997512,0.04797119984919338,8.432545138554348,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.004648647295264929,-0.0003776220919577966,-0.020126705025165448,-0.00018579960198739087,7.642670572655108e-06,-3.981849748713184e-05,-0.0017776057317810262,"[0.0012158130761208419, 0.003352896976613451]","[-0.0006141163356101487, 0.00022173935903868625]","[-0.013430007392374543, -0.006686076120492324]","[-0.000592176558204649, 0.0003912219281461127]","[-8.002242009882976e-05, 8.624033506193785e-05]","[-0.00020441732640430477, 0.00016139878895660154]","[-0.0011890006265652883, -0.0005878709426735476]"
S2_03,PAIR,home_starter_ra9|away_starter_ra9,2026_LATE_HOLDOUT,439,3.6792205605438224,4.676463122570347,0.6402915047218173,2.60015438471556,0.23033724299046177,0.653821465826152,0.04405591779620631,8.2868155567816,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,0.0009592485393987715,-0.004466370202333536,-0.020763252635902063,-0.0021222626148884594,-0.00019878612114876404,-0.0005343902755583496,0.0001502953035190588,"[-0.0016338018781310026, 0.0025680371431890947]","[-0.006503502181566034, 0.002010661671055125]","[-0.013518942383288879, -0.007227762808960314]","[-0.003447058758712096, 0.0013139973299209906]","[-0.00036248906574701256, 0.00016156362236777189]","[-0.000889939129935291, 0.0003504465392452083]","[-0.00013762177950327192, -0.00047561273033928236]"
S2_03,PAIR,home_starter_ra9|away_starter_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.725695907379833,4.618480223652156,0.437297226262309,2.6007898413751227,0.22894559487477942,0.6507246781756739,0.03946891792068522,8.248600209635127,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.0073184425325489855,0.005841093040508838,-0.018090558075982532,0.0034684017835986403,0.000331203909404304,0.000766798097026955,-0.0023591971405948348,"[0.004177970773406425, 0.003212587930793376]","[0.005170883434605145, 0.0006592372611198272]","[-0.012721249970149284, -0.005370238499557756]","[0.002768186377327897, 0.0007063566637368623]","[0.00023285489823787753, 9.853099270534793e-05]","[0.0005947675403251695, 0.00017235629995460133]","[-0.0004440371348869987, -0.00010476111815239247]"
S2_03,PAIR,home_starter_ra9|away_starter_ra9,ALL_GOVERNED_EVALUATION,4309,3.5914460253822305,4.5760990170171025,0.3609624765060982,2.534313324636586,0.22761924269488223,0.6474325830640754,0.027774909219898645,8.554099022681648,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,0.0042659063575047895,0.001277826813637084,-0.015956958105092622,0.0009997482094452614,0.0001256407818105154,0.00025382763060077806,-0.0014133134001959279,"[0.0026858886124196957, 0.0014606426849730347]","[0.0009271915616979598, 0.0003387741544740308]","[-0.011602515232511323, -0.004347737139960894]","[0.0006532727902928137, 0.0003390213331320169]","[7.804202856095954e-05, 4.661106134007387e-05]","[0.0001578218237202611, 9.40681201905269e-05]","[-0.0010393778923745087, -0.00037350437852296664]"
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,FROZEN_2025_VALIDATION,2433,3.5821890466821986,4.595577920245264,0.38983967523365065,2.5330174641064427,0.22723403088100166,0.6464879894932866,0.029937857702469983,8.4983641883093,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,-0.015017589484337623,0.003916088451571653,0.17479227521158322,0.001421685492410063,4.84468778517988e-05,0.00019133247895863903,0.01347041904978661,"[-0.014788531822835793, -0.0004862533969243188]","[0.0028832171775938775, 0.0006452543845929526]","[0.1643495840315273, 0.01065308379750926]","[0.0008559802872198929, 0.00034047676592452447]","[-1.400846198060246e-05, 3.6506201465613675e-05]","[4.46584721475185e-05, 8.63559597713559e-05]","[0.012806954949520676, 0.000766860940025562]"
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,2026_SEQUENTIAL_EARLY,1281,3.524755014915971,4.531489853675425,0.7953536486728746,2.5238205170604213,0.22894242111894464,0.6506593203712683,0.06855333250514586,8.194498029703393,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.0038090456745654144,0.030721905444608844,0.21792040382578748,0.0186729146386706,0.0020429340048409572,0.004603238774029905,0.018804526924171457,"[0.002968443520760644, 0.00014859890634966177]","[0.02846325271718353, 0.0016588163488622243]","[0.20476675669718947, 0.013507913558665208]","[0.01725883544036355, 0.0010280663017256941]","[0.001876066367070106, 0.0001230506993976921]","[0.0042214562978014625, 0.0002788667847238857]","[0.017658274068218675, 0.0011614384796464622]"
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,2026_LATE_HOLDOUT,439,3.6753385131185845,4.72575048067228,0.8984266998125656,2.627951078654308,0.2328211071860066,0.6602621750351508,0.06444706628939648,8.028680361690851,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,-0.0029227988858391285,0.044820987899599984,0.23737194245484627,0.02567443132385927,0.0022850780743960686,0.005906318933440513,0.020541443796709226,"[-0.004339936170778547, 0.0007956845347378838]","[0.04109086239337767, 0.0031360566220772768]","[0.2225774504094511, 0.01519307928062974]","[0.023205386210781498, 0.0020769467955594756]","[0.0020114402539415377, 0.00022783561852388057]","[0.005225653554944754, 0.0005599140218620624]","[0.019242079434832617, 0.0022389697731439104]"
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.7216250572642786,4.656506770509687,0.6923705629791465,2.623689144510706,0.23167913176808078,0.6572663252301668,0.061659397795746286,7.993526872918289,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.0032475924169945714,0.04386763989803999,0.23698277864085493,0.026367704919181723,0.003064740802705662,0.007308445151519849,0.01983128273446623,"[0.0021690949862809283, -0.00021711381555178377]","[0.041224280471245045, 0.001977824706227871]","[0.22321982861931267, 0.01419954540420032]","[0.024700627327836955, 0.0012402329860732308]","[0.002852569233229185, 0.00016248948299282806]","[0.006753593986909223, 0.000421829309963595]","[0.018618861183871058, 0.0025238418329479803]"
S2_04,PAIR,home_starter_prior_starts|away_starter_prior_starts,ALL_GOVERNED_EVALUATION,4309,3.5796528755807455,4.592327441106844,0.5731601491844714,2.5432377819907837,0.22847204669234686,0.6495215849174051,0.0460587234119004,8.341901350003276,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,-0.007527243443980147,0.017506250903378984,0.19624071457328063,0.009924205563642818,0.0009784447792751394,0.0023428294839304975,0.016870500791805826,"[-0.007831231129259209, -0.0001571741843022778]","[0.01577206206024151, 0.0012500070878758152]","[0.18442853266933557, 0.012092708525235918]","[0.008872506532278113, 0.0007543719872544763]","[0.0008580138083272293, 8.6288171263188e-05]","[0.0020570810287300345, 0.00020397772785019086]","[0.01584873090413952, 0.001033200271379247]"
