slate_date,game_pk,player_mlb_id,player,prop_type,line,governing_run_tag,market_timestamp_utc,final_pregame_over_odds,final_pregame_under_odds,plate_appearances,total_bases,outcome,settlement_status,outcome_source,source_sha256
2026-07-30,823595,672640,Otto Lopez,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:26+00:00,134,-175,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e
2026-07-30,823595,681715,Heriberto Hernández,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:26+00:00,164,-217,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e
2026-07-30,823674,521692,Salvador Perez,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,122,-159,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,605137,Josh Bell,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,126,-164,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,605170,Victor Caratini,Total Bases,1.5,cleanroom_20260730T152503Z,2026-07-30T15:25:29+00:00,146,-192,1,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,657041,Lane Thomas,Total Bases,1.5,cleanroom_20260730T152503Z,2026-07-30T15:25:29+00:00,122,-159,1,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,665019,Kody Clemens,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,117,-152,4,4,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,668885,Austin Martin,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,141,-185,3,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,668904,Royce Lewis,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,113,-147,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,670231,John Rave,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,144,-189,3,4,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,679845,Nick Loftin,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,158,-208,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,680777,Ryan Jeffers,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,117,-152,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,686555,Isaac Collins,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,178,-238,4,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,686681,Michael Massey,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,128,-167,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,686797,Brooks Lee,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,149,-196,3,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
2026-07-30,823674,695506,Jac Caglianone,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:45+00:00,-101,-128,4,5,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2
