feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
league_total,2026_SEQUENTIAL_EARLY,0.003482257693882218,0.002285352220036785,0.021895317085133925,0.008307554051372179,0.01305150901824037,0.004311193887245324,0.0014658263859690102,0.00047553750144174733,0.0034368917899442186,0.0010725331047779507,0.14855040091393223,0.037923921440743746,True
home_offense,2026_SEQUENTIAL_EARLY,-0.0005194675833584128,-0.00037614644309202916,-0.004525308842300291,-0.001760740666153282,-0.0022764654471632007,-0.0005586629498508522,-0.00026506059580028163,-6.16576107105582e-05,-0.0006106503140657082,-0.00014720247130906028,-0.018756425344757965,0.0009078139357352466,True
home_prevention,2026_SEQUENTIAL_EARLY,-0.002189306410767422,0.0008508401989426595,-0.0022715010936824598,0.00010326396769588797,-0.0009980650554743953,3.7744025777719514e-05,-9.511242631296546e-05,9.975602994205524e-07,-0.0001575633839085988,-5.434787562541565e-06,0.009225071264359008,-0.0059696400507174285,True
away_offense,2026_SEQUENTIAL_EARLY,-0.002202321534821472,-9.998549274081725e-05,-0.004048930085943425,2.508655059418885e-05,-0.0024393526280857003,-3.0831658179408805e-05,-0.00027790771634508826,-1.2757956628833833e-05,-0.0006601537104407029,-2.699324522970059e-05,-0.01381001357936451,0.001943743730536629,True
away_prevention,2026_SEQUENTIAL_EARLY,-0.004452538102416526,-0.0012256899769385043,-0.0034870094718728595,-0.003419411823124996,-0.0016840730430622841,-0.0017680167134326297,-0.0001498631007765816,-0.00016857745433213056,-0.0003500481604866712,-0.0004081373736031235,0.014861821422331722,-0.011051004985838997,True
home_starter_ra9,2026_SEQUENTIAL_EARLY,0.0012158130761208419,1.6644536163124002e-05,-0.0006141163356101487,0.0005089929394861414,-0.000592176558204649,0.00014684595155900482,-8.002242009882976e-05,1.7052456727228993e-07,-0.00020441732640430477,1.7647666565201447e-05,-0.013430007392374543,0.0031480853735572634,True
away_starter_ra9,2026_SEQUENTIAL_EARLY,0.003352896976613451,0.0018962058401168491,0.00022173935903868625,5.6938542041251594e-05,0.0003912219281461127,0.0002589761428164472,8.624033506193785e-05,5.965824355966265e-05,0.00016139878895660154,0.0001076419481375046,-0.006686076120492324,-0.00031358672925352327,True
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,0.002968443520760644,0.0019120036138846608,0.02846325271718353,-0.0024942180871523334,0.01725883544036355,-0.0024462110728418196,0.001876066367070106,-0.0003540992162868739,0.0042214562978014625,-0.0010011313678918166,0.20476675669718947,-0.032094074870663625,True
away_starter_prior_starts,2026_SEQUENTIAL_EARLY,0.00014859890634966177,0.00024189300394805713,0.0016588163488622243,1.2849479426257915e-05,0.0010280663017256941,-1.49869202736852e-05,0.0001230506993976921,6.851303379989959e-06,0.0002788667847238857,4.303144539474779e-06,0.013507913558665208,-0.0017316322031944997,True
home_expected_outs,2026_SEQUENTIAL_EARLY,0.0029223369652005005,0.0017351768322519945,0.003231014802552501,0.00028588759326098057,0.0020445157323960572,-2.1078394976559167e-05,0.00024133244830940037,-2.1573573697947213e-05,0.0005245386897873017,-0.0001549635009149286,0.010318285850484,-0.0027182693739986608,True
away_expected_outs,2026_SEQUENTIAL_EARLY,-0.004003563171047109,-0.003570292783509288,-0.0028049974157724478,-0.0026479693735579346,-0.0020493984091127793,-0.0017980055376862758,-0.0002920504298914717,-0.0002769214406341536,-0.0006420375478340956,-0.0005799322406924157,-0.00870838802003171,-0.004277678915690308,True
home_workload_uncertainty_outs,2026_SEQUENTIAL_EARLY,-0.0003174523404156915,-0.001085712393981364,-0.0016655271558683182,-0.0014210397305323141,-0.001069899716037881,-0.0009530703939431007,-9.716668127487949e-05,-8.975064686300716e-05,-0.00022169220580259275,-0.0002071392326346011,-0.008887345033575467,-0.00199765514436967,True
away_workload_uncertainty_outs,2026_SEQUENTIAL_EARLY,6.897145937934113e-05,-6.53440604541089e-05,-0.0005481814157564102,-0.0005626115199381942,-0.0002921364116854619,-0.0003124366338562723,-2.7513075682189525e-05,-3.1189263786701726e-05,-6.507214652096138e-05,-7.373697474100105e-05,-0.0018335908006810175,-0.0014392046793088031,True
home_bullpen_ra9,2026_SEQUENTIAL_EARLY,0.004527845806259201,0.0003731619606921477,0.005681711046452875,-0.0010001547680964507,0.003049994308255144,-0.0007699997509500456,0.00031518384714282477,-0.00010720249771550838,0.0006709495638795859,-0.0002603127604466904,0.0021381418305959077,-0.01658825072444614,True
away_bullpen_ra9,2026_SEQUENTIAL_EARLY,0.0032760997615652876,-1.7253001050043792e-06,0.0032746314119913578,-0.001620844954111078,0.0017849088462633667,-0.0009167249995916116,0.00018015228142695405,-9.59299144089043e-05,0.0004236498866735383,-0.00023293056629158926,-0.0023078053647438423,-0.011328232494425494,True
home_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,-0.0047373760004036924,-0.003618442392681054,-0.004998326552378529,-0.000985380794245927,-0.0030651344851451157,-0.0005555791338571758,-0.0003924746205604679,-0.0001097267479482078,-0.0009267495120470759,-0.00025979233101669497,0.002743012690229585,0.02556316735481623,True
away_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,0.0012517036250878633,9.976840515024676e-05,0.001069913841657666,-0.0007036130243163186,0.0005969629826516609,-0.0005196114314842681,6.501047348980715e-05,-6.635127589374457e-05,0.00015262996614440194,-0.00015792800921088368,-0.002807861949046142,-0.009566946904550622,True
