feature,population,metric,stage1_frozen_delta,stage3_refit_delta,fraction_stage1_loss_recovered,recovery_defined,interpretation
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,rmse,-0.009017738854865343,-0.005513243622981001,,False,not defined because frozen removal did not worsen metric
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,crps,-0.005504026610252399,-0.0034098427620894434,,False,not defined because frozen removal did not worsen metric
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,brier,-0.0006372467104224233,-0.0003894836901508214,,False,not defined because frozen removal did not worsen metric
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,log_loss,-0.0014089152966769714,-0.0008460622176557075,,False,not defined because frozen removal did not worsen metric
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,mae,0.0015754143204413928,0.000590899325074723,0.6249244929364567,True,positive frozen loss basis only
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,rmse,0.001426462557615693,-5.78195220279909e-05,1.0405335013662296,True,positive frozen loss basis only
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,crps,0.0009215765672681009,2.594836785307919e-05,0.9718435029983457,True,positive frozen loss basis only
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,brier,0.00011207221423853442,1.0607122586436812e-05,0.9053545728662001,True,positive frozen loss basis only
away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,log_loss,0.0002503885745667178,2.385273025462542e-05,0.9047371458705689,True,positive frozen loss basis only
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,mae,0.0002668384960715642,0.00024841668299391273,0.06903731413892714,True,positive frozen loss basis only
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,rmse,9.784217903430203e-05,0.00012233069931255613,-0.2502859249451996,True,positive frozen loss basis only
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,crps,9.505477617999247e-05,0.00010787122046451714,-0.1348321967562775,True,positive frozen loss basis only
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,brier,1.605869338283661e-05,1.7480022318328015e-05,-0.08850837995390771,True,positive frozen loss basis only
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,log_loss,3.490722703825e-05,3.806005519724209e-05,-0.09032021235996046,True,positive frozen loss basis only
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,mae,-0.0017575898780908261,-0.001092390331102422,,False,not defined because frozen removal did not worsen metric
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,rmse,-0.001272134930050406,-0.0009540891641375282,,False,not defined because frozen removal did not worsen metric
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,crps,-0.0008423285168324135,-0.0005557482627156496,,False,not defined because frozen removal did not worsen metric
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,brier,-0.00010024609183406641,-4.8563015085767436e-05,,False,not defined because frozen removal did not worsen metric
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,log_loss,-0.0002266808389037589,-0.00011521964050098532,,False,not defined because frozen removal did not worsen metric
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,mae,0.027196686798764524,0.011542053023382515,0.5756081206220002,True,positive frozen loss basis only
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,rmse,0.01829329888538922,0.009421777765305173,0.48496015812488,True,positive frozen loss basis only
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,crps,0.011457453750576718,0.005792529482294917,0.49443134500950126,True,positive frozen loss basis only
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,brier,0.001436777169747383,0.0007224250901722018,0.49719058363154534,True,positive frozen loss basis only
strict_prior_total_run_factor,FROZEN_2025_VALIDATION,log_loss,0.002982977504307427,0.0014671835111131903,0.5081479799983158,True,positive frozen loss basis only
park_history_depth,FROZEN_2025_VALIDATION,mae,0.06233888609813265,0.011841093493612842,0.8100528540889739,True,positive frozen loss basis only
park_history_depth,FROZEN_2025_VALIDATION,rmse,0.004781374455870235,-0.010031593613272882,3.0980564701341886,True,positive frozen loss basis only
park_history_depth,FROZEN_2025_VALIDATION,crps,0.0040253707830610885,-0.005443661324826987,2.3523378635662877,True,positive frozen loss basis only
park_history_depth,FROZEN_2025_VALIDATION,brier,0.0006212520057353177,-0.0005626380654502883,1.9056519097823217,True,positive frozen loss basis only
park_history_depth,FROZEN_2025_VALIDATION,log_loss,0.001168917687034976,-0.0013807833794006186,2.181249453845678,True,positive frozen loss basis only
game_number,FROZEN_2025_VALIDATION,mae,0.001148831556796015,0.0004200882262437311,0.6343343601952245,True,positive frozen loss basis only
game_number,FROZEN_2025_VALIDATION,rmse,0.0007595053240647687,0.00024608125106606593,0.6759979907065394,True,positive frozen loss basis only
game_number,FROZEN_2025_VALIDATION,crps,0.00045481149220583106,0.00011118069213900128,0.755545552290739,True,positive frozen loss basis only
game_number,FROZEN_2025_VALIDATION,brier,6.392857195933188e-05,2.164811523774901e-05,0.6613702672488845,True,positive frozen loss basis only
game_number,FROZEN_2025_VALIDATION,log_loss,0.00013925727453534265,4.4920369014156414e-05,0.6774289230918712,True,positive frozen loss basis only
league_total,2026_SEQUENTIAL_EARLY,mae,0.003482257693882218,0.002285352220036785,0.34371536487612875,True,positive frozen loss basis only
league_total,2026_SEQUENTIAL_EARLY,rmse,0.021895317085133925,0.008307554051372179,0.6205785000020535,True,positive frozen loss basis only
league_total,2026_SEQUENTIAL_EARLY,crps,0.01305150901824037,0.004311193887245324,0.6696785114104326,True,positive frozen loss basis only
league_total,2026_SEQUENTIAL_EARLY,brier,0.0014658263859690102,0.00047553750144174733,0.6755840214137059,True,positive frozen loss basis only
league_total,2026_SEQUENTIAL_EARLY,log_loss,0.0034368917899442186,0.0010725331047779507,0.6879351546894765,True,positive frozen loss basis only
home_offense,2026_SEQUENTIAL_EARLY,mae,-0.0005194675833584128,-0.00037614644309202916,,False,not defined because frozen removal did not worsen metric
home_offense,2026_SEQUENTIAL_EARLY,rmse,-0.004525308842300291,-0.001760740666153282,,False,not defined because frozen removal did not worsen metric
home_offense,2026_SEQUENTIAL_EARLY,crps,-0.0022764654471632007,-0.0005586629498508522,,False,not defined because frozen removal did not worsen metric
home_offense,2026_SEQUENTIAL_EARLY,brier,-0.00026506059580028163,-6.16576107105582e-05,,False,not defined because frozen removal did not worsen metric
home_offense,2026_SEQUENTIAL_EARLY,log_loss,-0.0006106503140657082,-0.00014720247130906028,,False,not defined because frozen removal did not worsen metric
home_prevention,2026_SEQUENTIAL_EARLY,mae,-0.002189306410767422,0.0008508401989426595,,False,not defined because frozen removal did not worsen metric
home_prevention,2026_SEQUENTIAL_EARLY,rmse,-0.0022715010936824598,0.00010326396769588797,,False,not defined because frozen removal did not worsen metric
home_prevention,2026_SEQUENTIAL_EARLY,crps,-0.0009980650554743953,3.7744025777719514e-05,,False,not defined because frozen removal did not worsen metric
home_prevention,2026_SEQUENTIAL_EARLY,brier,-9.511242631296546e-05,9.975602994205524e-07,,False,not defined because frozen removal did not worsen metric
home_prevention,2026_SEQUENTIAL_EARLY,log_loss,-0.0001575633839085988,-5.434787562541565e-06,,False,not defined because frozen removal did not worsen metric
away_offense,2026_SEQUENTIAL_EARLY,mae,-0.002202321534821472,-9.998549274081725e-05,,False,not defined because frozen removal did not worsen metric
away_offense,2026_SEQUENTIAL_EARLY,rmse,-0.004048930085943425,2.508655059418885e-05,,False,not defined because frozen removal did not worsen metric
away_offense,2026_SEQUENTIAL_EARLY,crps,-0.0024393526280857003,-3.0831658179408805e-05,,False,not defined because frozen removal did not worsen metric
away_offense,2026_SEQUENTIAL_EARLY,brier,-0.00027790771634508826,-1.2757956628833833e-05,,False,not defined because frozen removal did not worsen metric
away_offense,2026_SEQUENTIAL_EARLY,log_loss,-0.0006601537104407029,-2.699324522970059e-05,,False,not defined because frozen removal did not worsen metric
away_prevention,2026_SEQUENTIAL_EARLY,mae,-0.004452538102416526,-0.0012256899769385043,,False,not defined because frozen removal did not worsen metric
away_prevention,2026_SEQUENTIAL_EARLY,rmse,-0.0034870094718728595,-0.003419411823124996,,False,not defined because frozen removal did not worsen metric
away_prevention,2026_SEQUENTIAL_EARLY,crps,-0.0016840730430622841,-0.0017680167134326297,,False,not defined because frozen removal did not worsen metric
away_prevention,2026_SEQUENTIAL_EARLY,brier,-0.0001498631007765816,-0.00016857745433213056,,False,not defined because frozen removal did not worsen metric
away_prevention,2026_SEQUENTIAL_EARLY,log_loss,-0.0003500481604866712,-0.0004081373736031235,,False,not defined because frozen removal did not worsen metric
home_starter_ra9,2026_SEQUENTIAL_EARLY,mae,0.0012158130761208419,1.6644536163124002e-05,0.9863099546385619,True,positive frozen loss basis only
home_starter_ra9,2026_SEQUENTIAL_EARLY,rmse,-0.0006141163356101487,0.0005089929394861414,,False,not defined because frozen removal did not worsen metric
home_starter_ra9,2026_SEQUENTIAL_EARLY,crps,-0.000592176558204649,0.00014684595155900482,,False,not defined because frozen removal did not worsen metric
home_starter_ra9,2026_SEQUENTIAL_EARLY,brier,-8.002242009882976e-05,1.7052456727228993e-07,,False,not defined because frozen removal did not worsen metric
home_starter_ra9,2026_SEQUENTIAL_EARLY,log_loss,-0.00020441732640430477,1.7647666565201447e-05,,False,not defined because frozen removal did not worsen metric
away_starter_ra9,2026_SEQUENTIAL_EARLY,mae,0.003352896976613451,0.0018962058401168491,0.434457469661926,True,positive frozen loss basis only
away_starter_ra9,2026_SEQUENTIAL_EARLY,rmse,0.00022173935903868625,5.6938542041251594e-05,0.7432186045449979,True,positive frozen loss basis only
away_starter_ra9,2026_SEQUENTIAL_EARLY,crps,0.0003912219281461127,0.0002589761428164472,0.33803265056317244,True,positive frozen loss basis only
away_starter_ra9,2026_SEQUENTIAL_EARLY,brier,8.624033506193785e-05,5.965824355966265e-05,0.3082327020550642,True,positive frozen loss basis only
away_starter_ra9,2026_SEQUENTIAL_EARLY,log_loss,0.00016139878895660154,0.0001076419481375046,0.33306842738176673,True,positive frozen loss basis only
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,mae,0.002968443520760644,0.0019120036138846608,0.3558901826790619,True,positive frozen loss basis only
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,rmse,0.02846325271718353,-0.0024942180871523334,1.0876294115762304,True,positive frozen loss basis only
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,crps,0.01725883544036355,-0.0024462110728418196,1.1417367400769591,True,positive frozen loss basis only
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,brier,0.001876066367070106,-0.0003540992162868739,1.1887455702539342,True,positive frozen loss basis only
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,log_loss,0.0042214562978014625,-0.0010011313678918166,1.2371530811329745,True,positive frozen loss basis only
