omitted_feature,absorber_rank,candidate_absorber,retained,absolute_coefficient_change,direct_contribution_correlation,source_concept_overlap,forecast_response_similarity,overlap_bonus,absorption_score,absorption_evidence,causal_claim,map
strict_prior_total_run_factor,3,home_offense,home_offense,0.00034359270342993603,-0.3939449527877441,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.43442868441594495,1.0,0.25221862380828886,NONE,False,strict_prior_total_run_factor -> home_offense
strict_prior_total_run_factor,4,away_offense,away_offense,0.0047513548043056925,0.04215163133876037,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.036757334688650216,1.0,0.22824064409075692,NONE,False,strict_prior_total_run_factor -> away_offense
strict_prior_total_run_factor,5,park_history_depth,park_history_depth,0.0023327868890239897,0.12454728580036643,SAME_GOVERNED_STATE_FAMILY,0.007641904005913398,1.0,0.18217234429955928,NONE,False,strict_prior_total_run_factor -> park_history_depth
park_history_depth,1,home_starter_prior_starts,home_starter_prior_starts,0.01207268649230258,-0.17952113391735577,DISTINCT_PRIMARY_STATE_FAMILIES,-0.2031992881394629,0.0,0.6163841200043907,MODERATE,False,park_history_depth -> home_starter_prior_starts
park_history_depth,2,away_starter_prior_starts,away_starter_prior_starts,0.011698878821153124,-0.12833097159846424,DISTINCT_PRIMARY_STATE_FAMILIES,-0.11210942239560667,0.0,0.5754529085094842,MODERATE,False,park_history_depth -> away_starter_prior_starts
park_history_depth,3,away_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,0.0013988131414327822,-0.1717259207044796,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.16866331905834978,1.0,0.2233709477548768,NONE,False,park_history_depth -> away_bullpen_likely_available_reliever_count
park_history_depth,4,home_bullpen_likely_available_reliever_count,home_bullpen_likely_available_reliever_count,0.0015383873046559242,0.15830435700904866,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.13955709147713838,1.0,0.22267933446208454,NONE,False,park_history_depth -> home_bullpen_likely_available_reliever_count
park_history_depth,5,home_bullpen_ra9,home_bullpen_ra9,0.002228768045884434,0.06103119586010924,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.030070110567197713,1.0,0.2182535948043186,NONE,False,park_history_depth -> home_bullpen_ra9
game_number,1,away_bullpen_recent_innings_burden,away_bullpen_recent_innings_burden,0.00031607553780535133,-0.1047338404342845,DISTINCT_PRIMARY_STATE_FAMILIES,-0.10587107020699453,0.0,0.5868274286179062,MODERATE,False,game_number -> away_bullpen_recent_innings_burden
game_number,2,park_history_depth,park_history_depth,0.00026091643652177005,-0.0057432212518621975,DISTINCT_PRIMARY_STATE_FAMILIES,-0.014150178477019305,0.0,0.4572893499780822,WEAK,False,game_number -> park_history_depth
game_number,3,away_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,0.00024774220632004483,0.05332614826971259,DISTINCT_PRIMARY_STATE_FAMILIES,0.05225923834651082,0.0,0.4495979432362035,WEAK,False,game_number -> away_bullpen_likely_available_reliever_count
game_number,4,home_bullpen_recent_innings_burden,home_bullpen_recent_innings_burden,0.00022681614420953398,0.10450376901002521,DISTINCT_PRIMARY_STATE_FAMILIES,0.10532075360443795,0.0,0.4313794554811618,WEAK,False,game_number -> home_bullpen_recent_innings_burden
game_number,5,home_starter_prior_starts,home_starter_prior_starts,0.00022665161283222206,-0.04837208487092386,DISTINCT_PRIMARY_STATE_FAMILIES,-0.04626351974660751,0.0,0.41100823410919773,WEAK,False,game_number -> home_starter_prior_starts
