date,game_id,player_id,prediction_snapshots,multiplicity_class,side_changed,probability_changed,earliest_prediction_time,latest_valid_pregame_prediction_time,absolute_earliest_latest_change
2026-05-08,824116,679529,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,682985,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,686469,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,686555,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,686681,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,693307,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,695506,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,695600,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,701678,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824116,805808,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,595978,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,605137,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,605170,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,621439,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,656555,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,668885,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,668904,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,670242,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,677587,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,680757,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,680777,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,681807,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,682177,3,THREE,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 18:19:27.096721+00:00,0.0
2026-05-08,824443,683953,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,686797,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,690984,1,ONE,False,False,2026-05-08 20:17:45.463929+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824443,800050,3,THREE,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 18:19:27.096721+00:00,0.0
2026-05-08,824443,807712,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,514888,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,572233,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,663647,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,663886,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,663993,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,668709,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,668715,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,669397,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,670623,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
2026-05-08,824522,670770,4,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 20:17:45.463929+00:00,0.0
