perturbation_type,excluded_segment,rows,home_wins,predicted_home_wins,accuracy,brier_score,log_loss,roc_auc,mean_home_probability,observed_home_win_rate,calibration_gap,reference_predicted_home_wins,reference_accuracy,reference_brier_score,reference_log_loss,reference_roc_auc,reference_mean_home_probability,reference_observed_home_win_rate,reference_calibration_gap,accuracy_delta_vs_reference,brier_improvement_vs_reference,log_loss_improvement_vs_reference
leave_one_month_out,2025-03,1863,1025,1318,0.588298443370907,0.237375141504384,0.667292822558321,0.618283951335933,0.543676139303092,0.550187869028449,-0.00651172972535696,1863,0.550187869028449,0.247634559355773,0.688409989359774,,0.537803138373752,0.550187869028449,-0.0123847306546969,0.0381105743424583,0.0102594178513889,0.0211171668014521
leave_one_month_out,2025-04,1925,1058,1366,0.586493506493507,0.23660097804685,0.665677826883071,0.624024568128152,0.544039342624499,0.54961038961039,-0.00557104698589073,1925,0.54961038961039,0.247678220424471,0.688497478456956,,0.537803138373752,0.54961038961039,-0.0118072512366378,0.0368831168831169,0.0110772423776209,0.0228196515738851
leave_one_month_out,2025-05,2057,1143,1472,0.59212445308702,0.23654195327323,0.665582037709671,0.620744480244127,0.544520677148735,0.555663587749149,-0.0111429106004147,2057,0.555663587749149,0.247220560650784,0.687580408820071,,0.537803138373752,0.555663587749149,-0.0178604493753974,0.0364608653378706,0.0106786073775538,0.0219983711104004
leave_one_month_out,2025-06,2091,1162,1491,0.591104734576757,0.236537723735665,0.665578300558238,0.621007171852102,0.544196193529194,0.555714968914395,-0.0115187753852005,2091,0.555714968914395,0.247216675912185,0.687572624487645,,0.537803138373752,0.555714968914395,-0.017911830540643,0.0353897656623625,0.01067895217652,0.0219943239294074
leave_one_team_out,ANA,1977,1097,1420,0.588770864946889,0.236654816146142,0.665826425825702,0.620390320709373,0.543845337707166,0.554881133029843,-0.0110357953226771,1977,0.554881133029843,0.247279719138834,0.687698952018041,,0.537803138373752,0.554881133029843,-0.0170779946560914,0.033889731917046,0.010624902992692,0.0218725261923391
leave_one_team_out,ARI,2058,1142,1474,0.59086491739553,0.236672862571315,0.66586278784242,0.62126985522985,0.544130872356732,0.554907677356657,-0.0107768049999253,2058,0.554907677356657,0.247277712221115,0.687694930508156,,0.537803138373752,0.554907677356657,-0.0171045389829052,0.0359572400388727,0.0106048496497999,0.0218321426657357
leave_one_team_out,BOS,1964,1096,1401,0.592158859470468,0.236101050585832,0.664659194034823,0.622799392007804,0.544276060121759,0.558044806517312,-0.0137687463955521,1964,0.558044806517312,0.247040525565602,0.687219650196117,,0.537803138373752,0.558044806517312,-0.0202416681435597,0.0341140529531568,0.0109394749797703,0.0225604561612933
leave_one_team_out,BUF,1978,1094,1410,0.593528816986855,0.235989547858277,0.664450048924701,0.626103303084699,0.5443804887493,0.553083923154702,-0.00870343440540122,1978,0.553083923154702,0.247415599486028,0.687971232318441,,0.537803138373752,0.553083923154702,-0.0152807847809499,0.0404448938321538,0.0114260516277502,0.02352118339374
leave_one_team_out,CAR,1950,1074,1407,0.588205128205128,0.237684047775443,0.668001324486824,0.617942356912664,0.543911498535529,0.550769230769231,-0.00685773223370145,1950,0.550769230769231,0.247590604759109,0.688321912084209,,0.537803138373752,0.550769230769231,-0.012966092395479,0.0374358974358974,0.00990655698366547,0.0203205875973846
leave_one_team_out,CBJ,1977,1087,1411,0.587253414264036,0.237261551156731,0.667048062447742,0.619211209079727,0.543945886731408,0.549822964087,-0.00587707735559218,1977,0.549822964087,0.247662148459762,0.688465273068398,,0.537803138373752,0.549822964087,-0.0120198257132487,0.0374304501770359,0.0104005973030314,0.0214172106206562
leave_one_team_out,CGY,1978,1100,1406,0.590495449949444,0.236562180750579,0.665575194759169,0.619848829985504,0.543878298264753,0.556117290192113,-0.0122389919273607,1978,0.556117290192113,0.24718625789832,0.687511672141528,,0.537803138373752,0.556117290192113,-0.0183141518183614,0.0343781597573307,0.0106240771477416,0.021936477382359
leave_one_team_out,CHI,1978,1098,1429,0.58695652173913,0.237716764644223,0.668006564766819,0.613858358171883,0.54469394065611,0.555106167846309,-0.0104122271901994,1978,0.555106167846309,0.247262705094223,0.687664858867166,,0.537803138373752,0.555106167846309,-0.0173030294725576,0.0318503538928211,0.0095459404499996,0.0196582941003467
leave_one_team_out,COL,1961,1089,1401,0.591024987251402,0.236675040280756,0.665874976022518,0.621076802217336,0.544169282507571,0.55532891381948,-0.0111596313119089,1961,0.55532891381948,0.247245864100531,0.687631112479876,,0.537803138373752,0.55532891381948,-0.0175257754457281,0.0356960734319225,0.0105708238197748,0.0217561364573573
