slate_date,normal_runs_present,runs_examined_in_original_inventory,original_exclusion_decision,original_missing_requirement,original_evidence_paths_searched,original_run_selected_or_rejected,original_row_count
2026-06-18,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-19,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-20,4,4,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-21,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-22,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-23,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-24,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-25,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-26,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-27,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-28,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-29,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-06-30,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-01,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-02,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-03,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-04,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-05,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
2026-07-06,5,5,NOT_RECOVERABLE_DO_NOT_RECONSTRUCT,MARKET_ARTIFACT_MISSING,model_v2/bol_tb15/<date>/snapshots/<run>/bol_tb15_market_rows.csv,NONE,0
