side,omitted_cluster_type,omitted_cluster,settled_wagers,wins,losses,net,roi
OVER,month,2026-06,6905,2591,4314,-4274.502868231741,-0.123808917255083
OVER,month,2026-07,4966,1857,3109,-3067.36644543116,-0.12353469373464197
OVER,month,2026-08,8416,3201,5215,-4737.625811357903,-0.11258616471858135
OVER,game_pk,824735,8615,3262,5353,-5012.080690307618,-0.11635706767980541
OVER,game_pk,824518,8617,3272,5345,-4898.2247163990905,-0.11368747165832867
OVER,game_pk,824490,8617,3266,5351,-4970.309576201598,-0.1153605564860531
OVER,game_pk,824355,8620,3269,5351,-4949.227376939452,-0.11483126164592697
OVER,game_pk,824345,8623,3269,5354,-4959.40143565601,-0.11502728599457289
OVER,game_pk,824335,8621,3271,5350,-4923.450857143046,-0.11421994796759183
OVER,game_pk,824087,8621,3270,5351,-4947.985059239657,-0.11478912096600527
OVER,game_pk,824325,8624,3272,5352,-4930.229301589922,-0.11433741422982194
OVER,game_pk,824364,8623,3266,5357,-4997.9913852834425,-0.11592233295334436
OVER,game_pk,824363,8621,3274,5347,-4898.330690307617,-0.11363718107661797
UNDER,slate_date,2026-05-01,8494,5269,3225,-1066.199894570523,-0.025104777362150294
UNDER,slate_date,2026-05-02,8537,5303,3234,-1043.0504051778203,-0.024435994030170324
UNDER,slate_date,2026-05-03,8476,5270,3206,-986.4921017181204,-0.023277303013641348
UNDER,slate_date,2026-05-04,8517,5282,3235,-1108.316771580557,-0.026025989704838725
UNDER,slate_date,2026-05-05,8521,5287,3234,-1087.078972676355,-0.025515290991112664
UNDER,slate_date,2026-05-06,8530,5292,3238,-1097.314032994411,-0.025728347784159698
UNDER,slate_date,2026-05-07,8533,5291,3242,-1103.64557495497,-0.025867703620179774
UNDER,slate_date,2026-05-08,8489,5259,3230,-1130.5768240564316,-0.0266362781024015
UNDER,slate_date,2026-05-09,8477,5256,3221,-1094.8395115045978,-0.025830824855599805
UNDER,slate_date,2026-05-10,8482,5252,3230,-1155.057676901662,-0.027235502874361283
UNDER,slate_date,2026-05-11,8586,5327,3259,-1088.9613998436357,-0.025365977168498387
UNDER,slate_date,2026-05-12,8491,5268,3223,-1080.3987328499522,-0.02544809169355676
UNDER,slate_date,2026-05-13,8518,5284,3234,-1093.1686684236192,-0.025667261526734427
UNDER,slate_date,2026-05-14,8522,5287,3235,-1072.4692388200956,-0.02516942592865749
UNDER,slate_date,2026-05-15,8520,5289,3231,-1077.1164014315038,-0.025284422568814646
UNDER,slate_date,2026-05-16,8471,5262,3209,-1023.3178380727722,-0.024160496708128254
UNDER,slate_date,2026-05-17,8516,5288,3228,-1065.3420912276708,-0.025019776684539006
UNDER,slate_date,2026-05-18,8468,5255,3213,-1064.728788481995,-0.025147113568304087
UNDER,slate_date,2026-05-19,8474,5264,3210,-1019.3447623348914,-0.02405817234682302
UNDER,slate_date,2026-05-20,8503,5284,3219,-1017.5675335429956,-0.023934318088745046
UNDER,slate_date,2026-05-21,8577,5316,3261,-1125.339440506762,-0.026240863717075014
UNDER,slate_date,2026-05-22,8500,5268,3232,-1122.7832928580233,-0.026418430420188783
UNDER,slate_date,2026-05-23,8486,5259,3227,-1112.9695317116239,-0.02623072193522564
UNDER,slate_date,2026-06-19,8506,5294,3212,-954.8473608126644,-0.022451148855223712
UNDER,slate_date,2026-06-20,8489,5273,3216,-1035.9484367403131,-0.024406842660862602
UNDER,slate_date,2026-06-21,8490,5272,3218,-1047.8373419701666,-0.02468403632438555
UNDER,slate_date,2026-06-22,8512,5276,3236,-1129.8193701284652,-0.026546507756777846
UNDER,slate_date,2026-06-23,8492,5276,3216,-1034.168367292438,-0.024356296921630664
UNDER,slate_date,2026-06-24,8488,5273,3215,-1030.028628498056,-0.024270231585722335
UNDER,slate_date,2026-06-25,8543,5303,3240,-1060.3450883938938,-0.024823717391873903
UNDER,slate_date,2026-06-26,8496,5273,3223,-1060.4512587148904,-0.024963541871819452
UNDER,slate_date,2026-06-27,8469,5261,3208,-1019.6305471943144,-0.02407912497802136
UNDER,slate_date,2026-06-28,8484,5250,3234,-1197.0368138326373,-0.02821868962358881
UNDER,slate_date,2026-06-29,8489,5279,3210,-1005.6225305559884,-0.023692367311956376
UNDER,slate_date,2026-06-30,8476,5266,3210,-1037.7577041773034,-0.024486968007959024
UNDER,slate_date,2026-07-01,8497,5278,3219,-1054.7676943743447,-0.02482682580615146
UNDER,slate_date,2026-07-02,8536,5307,3229,-1017.1464728487355,-0.023831922981460533
UNDER,slate_date,2026-07-03,8481,5263,3218,-1079.891568888461,-0.025466137693396087
UNDER,slate_date,2026-07-04,8462,5255,3207,-1051.4696442697725,-0.024851563324740547
UNDER,slate_date,2026-07-05,8470,5262,3208,-1041.789939331702,-0.024599526312436885
UNDER,slate_date,2026-07-06,8545,5309,3236,-1040.4774402246846,-0.024352895031590046
UNDER,slate_date,2026-07-07,8486,5254,3232,-1154.416139774697,-0.027207545127850508
UNDER,slate_date,2026-07-08,8509,5273,3236,-1136.7279795589238,-0.02671825078291042
UNDER,slate_date,2026-07-09,8518,5286,3232,-1084.970500225762,-0.025474771078322658
UNDER,slate_date,2026-07-10,8460,5256,3204,-1020.3182167700295,-0.024120998032388406
UNDER,slate_date,2026-07-11,8505,5274,3231,-1112.771280416348,-0.026167461032718352
UNDER,slate_date,2026-07-12,8474,5259,3215,-1068.380920818356,-0.02521550438561142
UNDER,slate_date,2026-07-19,8471,5261,3210,-1037.1160753410545,-0.02448627258507979
UNDER,slate_date,2026-07-20,8458,5257,3201,-1020.4188853326198,-0.024129082178591152
UNDER,slate_date,2026-07-21,8461,5257,3204,-1019.0773748138688,-0.02408881632936695
UNDER,slate_date,2026-07-22,8450,5249,3201,-1030.0319582673649,-0.0243794546335471
UNDER,slate_date,2026-07-23,8595,5332,3263,-1098.3637138463434,-0.025558201602009153
UNDER,slate_date,2026-07-24,8483,5263,3220,-1083.663473077355,-0.025549062196801958
UNDER,slate_date,2026-07-25,8476,5254,3222,-1104.3432332207417,-0.02605812253942288
UNDER,slate_date,2026-07-26,8461,5266,3195,-941.9787207459156,-0.02226636853199186
UNDER,slate_date,2026-07-27,8514,5290,3224,-1028.1429132019637,-0.02415181849194183
UNDER,slate_date,2026-07-28,8455,5247,3208,-1068.928881532386,-0.02528513025505348
UNDER,slate_date,2026-07-29,8497,5276,3221,-1047.2666693238148,-0.024650268784837347
UNDER,slate_date,2026-07-30,8557,5306,3251,-1119.0144806991084,-0.02615436439637977
UNDER,slate_date,2026-07-31,8481,5263,3218,-1075.1909736196408,-0.02535528766937014
UNDER,slate_date,2026-08-01,8548,5307,3241,-1061.5276759510375,-0.024836866540735553
UNDER,slate_date,2026-08-02,8507,5270,3237,-1143.7648285161317,-0.02688996893184746
UNDER,month,2026-05,5630,3448,2182,-963.7241916516084,-0.03423531764304115
UNDER,month,2026-06,6905,4314,2591,-677.3158010164299,-0.019618126025095724
UNDER,month,2026-07,4966,3109,1857,-494.09573824466753,-0.019899143706994263
UNDER,month,2026-08,8416,5215,3201,-1120.185445622199,-0.026620376559462904
UNDER,game_pk,824735,8615,5353,3262,-1038.2564072144892,-0.024103456928949257
UNDER,game_pk,824518,8617,5345,3272,-1110.5087751753586,-0.025774835213539713
UNDER,game_pk,824490,8617,5351,3266,-1060.3489248728224,-0.02461062840600725
UNDER,game_pk,824355,8620,5351,3269,-1078.9948316997659,-0.025034682870064173
UNDER,game_pk,824345,8623,5354,3269,-1074.6496507309105,-0.024925191945515724
UNDER,game_pk,824335,8621,5350,3271,-1096.5743731694427,-0.025439609631584332
UNDER,game_pk,824087,8621,5351,3270,-1090.7841482452945,-0.025305281249165864
UNDER,game_pk,824325,8624,5352,3272,-1097.9305007054447,-0.02546221012767729
UNDER,game_pk,824364,8623,5357,3266,-1046.2691200847012,-0.02426694004603273
UNDER,game_pk,824363,8621,5347,3274,-1122.5582301200884,-0.026042413411903224
