row_type,feature,pitcher_id,appearances,pitchers,count_vs_date_pearson,count_vs_date_spearman,within_pitcher_declines,same_count_successors,season_resets,mechanical_career_growth,first_date,last_date,first_count,last_count,estimated_count_increase_per_month
PITCHER,home_starter_prior_starts,663372,32,,0.9541360488945274,,0,,,YES,2023-04-09,2026-08-01,1,61,1.5092975206611572
PITCHER,home_starter_prior_starts,663436,27,,0.9782631334414773,,0,,,YES,2024-08-14,2026-07-29,2,55,2.2593662464985993
PITCHER,home_starter_prior_starts,663460,17,,0.8506995177792972,,0,,,YES,2023-04-04,2026-05-08,0,30,0.808075221238938
PITCHER,home_starter_prior_starts,663474,12,,0.8025042644374836,,0,,,YES,2023-06-10,2024-06-23,1,18,1.3652704485488125
PITCHER,home_starter_prior_starts,663554,32,,0.9831972509160061,,0,,,YES,2024-04-16,2026-07-25,2,63,2.236972891566265
PITCHER,home_starter_prior_starts,663556,19,,0.9149421277029913,,0,,,YES,2023-03-30,2026-07-30,0,40,0.9995894909688012
PITCHER,home_starter_prior_starts,663559,35,,0.973769399785057,,0,,,YES,2023-04-08,2026-05-26,1,67,1.7560096153846152
PITCHER,home_starter_prior_starts,663567,18,,0.8892818899747691,,0,,,YES,2023-07-01,2026-08-02,0,32,0.8634751773049645
PITCHER,home_starter_prior_starts,663568,13,,0.9428622818354265,,0,,,YES,2025-05-16,2026-07-02,2,28,1.9208131067961165
PITCHER,home_starter_prior_starts,663623,50,,0.9893962605490358,,0,,,YES,2023-05-03,2026-05-18,0,99,2.7122524752475248
PITCHER,home_starter_prior_starts,663776,23,,0.835227318079199,,0,,,YES,2023-04-07,2026-08-04,1,48,1.1774176954732511
PITCHER,home_starter_prior_starts,663855,15,,0.9241354537060779,,0,,,YES,2024-04-05,2025-05-14,1,28,2.0341893564356437
PITCHER,home_starter_prior_starts,663903,60,,0.9921174395473212,,0,,,YES,2023-04-03,2026-08-04,0,114,2.84649302707137
PITCHER,home_starter_prior_starts,663969,10,,0.8824137714458566,,0,,,YES,2024-07-13,2026-07-27,0,18,0.7363911290322581
PITCHER,home_starter_prior_starts,663978,26,,0.9715871458655464,,0,,,YES,2024-04-10,2026-05-29,1,53,2.0317715019255456
PITCHER,home_starter_prior_starts,664062,15,,0.811968554688173,,0,,,YES,2023-05-01,2025-06-04,1,26,0.9946895424836601
PITCHER,home_starter_prior_starts,664285,56,,0.9922264952249382,,0,,,YES,2023-03-30,2026-07-26,0,110,2.757928336079077
PITCHER,home_starter_prior_starts,664299,25,,0.8892650069984531,,0,,,YES,2023-03-31,2026-08-03,0,50,1.2464168714168715
PITCHER,home_starter_prior_starts,665152,45,,0.9830068761053696,,0,,,YES,2023-04-07,2026-07-08,1,88,2.2290088383838382
PITCHER,home_starter_prior_starts,665622,12,,0.9235621830992359,,0,,,YES,2023-05-11,2024-07-06,1,23,1.5867890995260665
PITCHER,home_starter_prior_starts,665795,41,,0.9841322214202531,,0,,,YES,2023-04-01,2026-06-16,0,78,2.025703924914676
PITCHER,home_starter_prior_starts,665871,26,,0.952235284536228,,0,,,YES,2023-04-20,2026-08-04,0,55,1.3927308652246255
PITCHER,home_starter_prior_starts,666129,20,,0.7657749146724968,,0,,,YES,2023-04-15,2026-05-19,1,38,0.9966261061946903
PITCHER,home_starter_prior_starts,666142,33,,0.962378556030066,,0,,,YES,2023-07-15,2026-05-06,0,64,1.898635477582846
PITCHER,home_starter_prior_starts,666157,37,,0.9719926992281833,,0,,,YES,2023-04-01,2026-07-11,0,67,1.703686299081036
PITCHER,home_starter_prior_starts,666200,53,,0.9808062808423258,,0,,,YES,2023-03-31,2026-08-04,0,98,2.4409779050736495
PITCHER,home_starter_prior_starts,666201,11,,0.8654332619386518,,0,,,YES,2023-04-11,2024-05-19,2,21,1.431466584158416
PITCHER,home_starter_prior_starts,666214,18,,0.8950240181053734,,0,,,YES,2023-04-08,2025-09-26,1,31,1.0123337028824833
PITCHER,home_starter_prior_starts,667755,34,,0.9803767459633939,,0,,,YES,2024-04-10,2026-07-20,0,71,2.6005565583634174
PITCHER,home_starter_prior_starts,668678,57,,0.9903261483287127,,0,,,YES,2023-04-10,2026-07-01,2,112,2.842211375212224
PITCHER,home_starter_prior_starts,668881,36,,0.9730020018172489,,0,,,YES,2023-03-30,2026-07-31,0,71,1.772815832649713
PITCHER,home_starter_prior_starts,668909,46,,0.9774016487819722,,0,,,YES,2023-06-21,2026-08-02,0,86,2.3001977152899826
PITCHER,home_starter_prior_starts,668933,21,,0.9396209941434187,,0,,,YES,2023-04-02,2024-07-07,0,40,2.6352813852813854
PITCHER,home_starter_prior_starts,668964,15,,0.8926213258049208,,0,,,YES,2024-04-28,2025-08-09,1,30,1.8860844017094016
PITCHER,home_starter_prior_starts,669022,55,,0.9901474873054971,,0,,,YES,2023-04-02,2026-08-04,0,112,2.794262295081967
PITCHER,home_starter_prior_starts,669160,29,,0.8902617693193446,,0,,,YES,2023-03-31,2026-07-29,0,52,1.3016036184210527
PITCHER,home_starter_prior_starts,669194,43,,0.9889118604689686,,0,,,YES,2023-04-09,2026-06-15,1,89,2.3030954428202923
PITCHER,home_starter_prior_starts,669203,37,,0.9783504544950713,,0,,,YES,2023-04-05,2025-06-01,1,74,2.8197176395939088
PITCHER,home_starter_prior_starts,669302,57,,0.9895615593964933,,0,,,YES,2023-04-01,2026-08-01,0,111,2.7738608374384235
PITCHER,home_starter_prior_starts,669330,15,,0.7954228550534821,,0,,,YES,2023-04-09,2025-09-24,0,26,0.8802836484983314
PITCHER,home_starter_prior_starts,669358,33,,0.9741293175512494,,0,,,YES,2024-07-11,2026-08-01,1,66,2.6344041278295607
PITCHER,home_starter_prior_starts,669372,22,,0.9623729386605411,,0,,,YES,2024-09-03,2026-07-18,1,40,1.7380124450951684
PITCHER,home_starter_prior_starts,669373,48,,0.98943211709011,,0,,,YES,2023-07-04,2026-07-29,0,93,2.52514495985727
PITCHER,home_starter_prior_starts,669387,11,,0.9658777034849206,,0,,,YES,2024-06-08,2026-05-25,1,25,1.0202513966480447
PITCHER,home_starter_prior_starts,669432,35,,0.9746893078171746,,0,,,YES,2023-04-02,2026-08-05,0,67,1.6701986076986077
PITCHER,home_starter_prior_starts,669456,19,,0.9144597848782015,,0,,,YES,2023-04-10,2026-07-23,2,35,0.83703125
PITCHER,home_starter_prior_starts,669461,34,,0.9436296216272212,,0,,,YES,2023-05-17,2026-07-27,0,66,1.721401028277635
PITCHER,home_starter_prior_starts,669467,39,,0.9849215289499365,,0,,,YES,2024-06-09,2026-07-30,2,71,2.6891005121638925
PITCHER,home_starter_prior_starts,669713,12,,0.9671041538540096,,0,,,YES,2023-04-11,2026-08-04,1,25,0.6032204789430223
PITCHER,home_starter_prior_starts,669854,26,,0.9139911115698349,,0,,,YES,2023-06-01,2026-08-01,0,47,1.2364412273120138
PITCHER,home_starter_prior_starts,669923,53,,0.9889584028393246,,0,,,YES,2023-04-03,2026-08-02,0,107,2.6760990139687757
PITCHER,home_starter_prior_starts,670102,12,,0.9232917414701141,,0,,,YES,2024-08-07,2025-06-03,4,24,2.029166666666667
PITCHER,home_starter_prior_starts,670912,18,,0.8405979880757465,,0,,,YES,2023-04-09,2025-09-17,1,38,1.2625420403587444
PITCHER,home_starter_prior_starts,671096,49,,0.9877548512144736,,0,,,YES,2023-06-05,2026-08-01,0,97,2.5606569817866434
PITCHER,home_starter_prior_starts,671106,37,,0.9815448524189166,,0,,,YES,2023-04-23,2026-07-18,0,73,1.8798117597292723
PITCHER,home_starter_prior_starts,671212,14,,0.9710798833626124,,0,,,YES,2023-09-17,2026-04-08,0,24,0.7821199143468951
PITCHER,home_starter_prior_starts,671737,46,,0.9876501081325211,,0,,,YES,2023-04-12,2026-07-28,0,93,2.3530236907730675
PITCHER,home_starter_prior_starts,672282,36,,0.9500003608309183,,0,,,YES,2023-04-09,2026-07-28,1,66,1.64049543946932
PITCHER,home_starter_prior_starts,672456,28,,0.9682590501847184,,0,,,YES,2024-05-29,2026-07-27,0,44,1.6974017743979721
PITCHER,home_starter_prior_starts,673540,33,,0.9546853386538079,,0,,,YES,2023-04-08,2026-07-31,1,59,1.4589876033057851
PITCHER,home_starter_prior_starts,674003,13,,0.8779534373460347,,0,,,YES,2023-05-15,2026-08-05,0,21,0.5426039898132428
PITCHER,home_starter_prior_starts,674072,11,,0.8809337948094409,,0,,,YES,2023-04-24,2024-04-29,0,21,1.722877358490566
PITCHER,home_starter_prior_starts,674370,17,,0.965382138630567,,0,,,YES,2023-06-19,2025-08-26,1,27,0.9904568210262829
PITCHER,home_starter_prior_starts,675911,30,,0.9451500868447505,,0,,,YES,2023-04-06,2026-06-06,1,63,1.6310501296456352
PITCHER,home_starter_prior_starts,676083,17,,0.953293459052504,,0,,,YES,2025-06-20,2026-07-26,1,30,2.2012157107231918
PITCHER,home_starter_prior_starts,676106,28,,0.9708357105333674,,0,,,YES,2023-08-09,2026-08-04,0,51,1.4228345554537123
PITCHER,home_starter_prior_starts,676254,10,,0.7915865420971658,,0,,,YES,2023-06-19,2024-04-24,0,13,1.2764112903225806
PITCHER,home_starter_prior_starts,676272,16,,0.9464399807572521,,0,,,YES,2023-05-29,2025-04-16,1,35,1.5041787790697674
PITCHER,home_starter_prior_starts,676282,20,,0.9352595347563828,,0,,,YES,2024-08-03,2026-08-04,1,44,1.790441176470588
PITCHER,home_starter_prior_starts,676440,56,,0.992058367604197,,0,,,YES,2023-04-26,2026-08-05,0,110,2.797096908939014
PITCHER,home_starter_prior_starts,676664,46,,0.9788588628378561,,0,,,YES,2023-04-04,2026-07-30,0,96,2.4089035449299256
PITCHER,home_starter_prior_starts,676710,29,,0.965297665750509,,0,,,YES,2023-04-03,2024-09-28,0,55,3.077320772058824
PITCHER,home_starter_prior_starts,676917,17,,0.9312255022202586,,0,,,YES,2025-08-06,2026-07-28,0,32,2.7359550561797756
PITCHER,home_starter_prior_starts,676962,11,,0.9562419124125101,,0,,,YES,2024-05-23,2026-06-19,4,30,1.0454095112285338
PITCHER,home_starter_prior_starts,676974,23,,0.96007426709406,,0,,,YES,2024-04-01,2026-07-07,0,41,1.5089933494558647
PITCHER,home_starter_prior_starts,676979,33,,0.977812635695365,,0,,,YES,2024-03-28,2026-04-19,0,69,2.792802526595745
PITCHER,home_starter_prior_starts,677944,27,,0.956555440534433,,0,,,YES,2023-08-27,2026-07-22,2,59,1.6367334905660378
PITCHER,home_starter_prior_starts,677952,15,,0.906232571710891,,0,,,YES,2025-08-09,2026-07-26,1,28,2.3413461538461537
PITCHER,home_starter_prior_starts,677958,20,,0.948180741655235,,0,,,YES,2024-09-19,2026-07-27,1,34,1.4858542899408285
PITCHER,home_starter_prior_starts,677960,27,,0.9715702143575278,,0,,,YES,2023-04-03,2026-08-04,0,57,1.423246513535685
PITCHER,home_starter_prior_starts,678394,49,,0.9880688763123974,,0,,,YES,2023-04-17,2026-06-04,0,93,2.474377185314685
PITCHER,home_starter_prior_starts,679525,15,,0.9122793241969653,,0,,,YES,2023-06-30,2024-09-18,0,31,2.115610986547085
PITCHER,home_starter_prior_starts,680570,29,,0.9092855706712211,,0,,,YES,2023-04-11,2026-07-29,1,52,1.288226141078838
PITCHER,home_starter_prior_starts,680573,29,,0.9732590276912867,,0,,,YES,2024-04-25,2026-05-13,1,58,2.319435160427808
PITCHER,home_starter_prior_starts,680686,13,,0.8769736373141882,,0,,,YES,2023-04-01,2024-04-04,0,31,2.557079945799458
PITCHER,home_starter_prior_starts,680694,31,,0.9460976161394119,,0,,,YES,2023-04-25,2026-08-02,2,65,1.604654811715481
PITCHER,home_starter_prior_starts,680730,32,,0.9638760650193355,,0,,,YES,2024-04-21,2025-09-15,1,58,3.3885498046875
PITCHER,home_starter_prior_starts,680732,26,,0.9658390611615099,,0,,,YES,2024-09-15,2026-07-30,0,42,1.871705710102489
PITCHER,home_starter_prior_starts,680885,21,,0.9494621869458605,,0,,,YES,2024-05-29,2025-06-28,0,37,2.851107594936709
PITCHER,home_starter_prior_starts,681035,11,,0.888121621620806,,0,,,YES,2024-05-11,2026-07-29,1,23,0.8277194066749073
PITCHER,home_starter_prior_starts,681190,32,,0.9755220348843718,,0,,,YES,2023-05-26,2026-06-07,0,63,1.7306520758122743
PITCHER,home_starter_prior_starts,681293,23,,0.9411254612471769,,0,,,YES,2024-04-15,2026-07-18,1,50,1.8099969660194175
PITCHER,home_starter_prior_starts,681343,15,,0.9067210611012432,,0,,,YES,2025-04-01,2026-04-07,0,31,2.5432951482479784
PITCHER,home_starter_prior_starts,681347,19,,0.9486377851276805,,0,,,YES,2025-05-22,2026-06-30,0,34,2.561571782178218
PITCHER,home_starter_prior_starts,681517,11,,0.9995393893533967,,0,,,YES,2026-03-30,2026-07-26,1,20,4.900953389830509
PITCHER,home_starter_prior_starts,681857,26,,0.9800584055606413,,0,,,YES,2023-06-14,2025-07-24,1,52,2.013375486381323
PITCHER,home_starter_prior_starts,681867,10,,0.7877872379101268,,0,,,YES,2024-04-13,2025-08-01,0,18,1.153421052631579
PITCHER,home_starter_prior_starts,682052,14,,0.9623710997680751,,0,,,YES,2025-05-23,2026-07-29,3,32,2.0432581018518516
PITCHER,home_starter_prior_starts,682227,15,,0.8607681553787028,,0,,,YES,2023-05-22,2026-04-29,1,31,0.8510018639328985
PITCHER,home_starter_prior_starts,682243,45,,0.9789399033692421,,0,,,YES,2023-05-07,2026-07-31,1,85,2.1649026248941574
PITCHER,home_starter_prior_starts,682847,22,,0.9700232206282892,,0,,,YES,2023-05-09,2025-06-27,0,45,1.7560096153846154
PITCHER,home_starter_prior_starts,682990,17,,0.9322629933863684,,0,,,YES,2023-07-17,2025-09-26,0,38,1.4421758104738154
PITCHER,home_starter_prior_starts,683003,18,,0.902414465441075,,0,,,YES,2024-04-05,2026-07-29,1,32,1.1166420118343197
PITCHER,home_starter_prior_starts,683004,25,,0.9522363328483833,,0,,,YES,2024-05-14,2026-06-18,2,49,1.870016339869281
PITCHER,home_starter_prior_starts,683155,14,,0.7880999885693261,,0,,,YES,2023-09-20,2026-06-13,0,28,0.8548144433299899
PITCHER,home_starter_prior_starts,684007,42,,0.9845787604933988,,0,,,YES,2024-04-01,2026-08-05,0,76,2.702394859813084
PITCHER,home_starter_prior_starts,685299,14,,0.9484933206775245,,0,,,YES,2024-07-07,2026-07-05,0,26,1.0870535714285714
PITCHER,home_starter_prior_starts,686218,24,,0.9018485981723977,,0,,,YES,2023-06-16,2026-08-02,0,42,1.1184383202099737
PITCHER,home_starter_prior_starts,686563,17,,0.9667829405972334,,0,,,YES,2024-04-17,2025-07-29,0,36,2.3413461538461537
PITCHER,home_starter_prior_starts,686610,11,,0.9863010220023498,,0,,,YES,2023-04-02,2023-09-22,0,20,3.51878612716763
PITCHER,home_starter_prior_starts,686613,51,,0.986651054801941,,0,,,YES,2023-04-03,2026-08-05,0,100,2.4948770491803276
