evidence_label,model,feature,period,variant,training_mean,training_p95,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,delta_mae_vs_original,delta_rmse_vs_original,delta_actual_minus_forecast_bias_vs_original,delta_crps_vs_original,delta_ladder_brier_vs_original,delta_ladder_log_loss_vs_original,delta_ladder_ece_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ORIGINAL,18.666803869108872,49.0,1281,8.412418433529181,8.989851678376269,0.5774332448470871,3.5209459692414056,4.500767948230816,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.049748805580974394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,18.666803869108872,49.0,1281,8.398910519970517,8.989851678376269,0.5909411584057523,3.5210945681477552,4.5024267645796785,2.5061756687234764,0.22702253781350135,0.6463349483819623,0.05091024406062086,0.00014859890634966177,0.0016588163488622243,0.013507913558665208,0.0010280663017256941,0.00012305069939766433,0.0002788667847238857,0.0011614384796464691
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,18.666803869108872,49.0,1281,8.406114309939024,8.989851678376269,0.5837373684372427,3.5211332355383953,4.501552377122602,2.5056704552299824,0.226964463431577,0.6462024505817229,0.05029116636623537,0.00018726629698972985,0.000784428891785538,0.00630412359015553,0.0005228528082317219,6.497631747331978e-05,0.00014636898448450175,0.000542360785260973
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,18.666803869108872,49.0,1281,8.398910519970517,8.989851678376269,0.5909411584057523,3.5210945681477552,4.5024267645796785,2.5061756687234764,0.22702253781350135,0.6463349483819623,0.05091024406062086,0.00014859890634966177,0.0016588163488622243,0.013507913558665208,0.0010280663017256941,0.00012305069939766433,0.0002788667847238857,0.0011614384796464691
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ORIGINAL,18.666803869108872,49.0,439,8.266052304145697,8.927107061503417,0.6610547573577193,3.6782613120044236,4.68092949277268,2.6022766473304486,0.23053602911161053,0.6543558561017102,0.04390562249268724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,18.666803869108872,49.0,439,8.250859224865067,8.927107061503417,0.6762478366383491,3.6790569965391615,4.6840655493947585,2.604353594126008,0.23076386473013444,0.6549157701235724,0.046144592265831175,0.0007956845347378838,0.003136056622078165,0.01519307928062974,0.0020769467955594756,0.00022783561852390832,0.0005599140218621734,0.002238969773143938
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,18.666803869108872,49.0,439,8.25837269671993,8.927107061503417,0.6687343647834877,3.6787821854643585,4.682478734479306,2.6033415736154124,0.23065627504697572,0.6546506836038144,0.0450335283198773,0.0005208734599349008,0.00154924170662607,0.007679607425768342,0.0010649262849637964,0.00012024593536519301,0.00029482750210418907,0.001127905827190065
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,18.666803869108872,49.0,439,8.250859224865067,8.927107061503417,0.6762478366383491,3.6790569965391615,4.6840655493947585,2.604353594126008,0.23076386473013444,0.6549157701235724,0.046144592265831175,0.0007956845347378838,0.003136056622078165,0.01519307928062974,0.0020769467955594756,0.00022783561852390832,0.0005599140218621734,0.002238969773143938
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ORIGINAL,18.666803869108872,49.0,126,8.05211873571176,8.61111111111111,0.558992375399351,3.265726718124754,4.092129493546904,2.3138777181992336,0.22434798471609654,0.6408382598645951,0.06835425792700746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,18.666803869108872,49.0,126,8.036133509591206,8.61111111111111,0.5749776015199057,3.2674135085438265,4.095846148015302,2.316061873456564,0.22462083600361002,0.641479698512519,0.06974982617584378,0.0016867904190727145,0.003716654468398417,0.015985226120554752,0.002184155257330289,0.00027285128751347587,0.0006414386479238754,0.0013955682488363264
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,18.666803869108872,49.0,126,8.044027853710409,8.61111111111111,0.5670832574007024,3.266503715831647,4.093986004374037,2.3149270467227994,0.22447420119309913,0.6411278796445414,0.06905940821708502,0.0007769977068932121,0.0018565108271335617,0.00809088200135144,0.0010493285235657623,0.00012621647700258865,0.00028961977994634847,0.0007051502900775608
COUNTERFACTUAL_ONLY_NOT_A_MODEL,CONTROL,away_starter_prior_starts,PROSPECTIVE_AUG06_15,ZERO_COEFFICIENT_CONTRIBUTION,18.666803869108872,49.0,126,8.036133509591206,8.61111111111111,0.5749776015199057,3.2674135085438265,4.095846148015302,2.316061873456564,0.22462083600361002,0.641479698512519,0.06974982617584378,0.0016867904190727145,0.003716654468398417,0.015985226120554752,0.002184155257330289,0.00027285128751347587,0.0006414386479238754,0.0013955682488363264
