evidence_label,model,feature,period,variant,games,ladder_brier,delta_ladder_brier_vs_original,ladder_log_loss,delta_ladder_log_loss_vs_original,ladder_ece,delta_ladder_ece_vs_original,crps,delta_crps_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,2433,0.22643039825092534,-0.00019254768677423595,0.6444659945556637,-0.0004498790792637486,0.010455534446354817,0.00020133223933652133,2.52429039481583,-0.001861722473375682
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,2433,0.22651392900346964,-0.00010901693422993297,0.6446320586801578,-0.00028381495476959007,0.015293706566131727,0.005039504359113432,2.52492235128054,-0.0012297660086657558
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,1281,0.22502858423694316,-0.0005907004284969875,0.6415140037945158,-0.0012747220783323465,0.004574614736185635,-0.010289448103257912,2.4885833772296237,-0.004458549207535967
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,1281,0.22510072602601153,-0.0005185586394286235,0.6416631695931683,-0.001125556279679918,0.00840623928299811,-0.006457823556445436,2.489088009260693,-0.00395391717646687
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,1281,0.22502858423694316,-0.0005907004284969875,0.6415140037945158,-0.0012747220783323465,0.004574614736185635,-0.010289448103257912,2.4885833772296237,-0.004458549207535967
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,439,0.22912799512045182,-0.0015841023082367178,0.6502566637384563,-0.003751868766352362,0.027538251803838194,-0.006714863744139991,2.580397095284621,-0.014918758349913741
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,439,0.22966265831337662,-0.001049439115311912,0.6515376313576097,-0.002470901147198945,0.03135055159205735,-0.0029025639559208324,2.585957875643794,-0.009357977990740896
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,439,0.22912799512045182,-0.0015841023082367178,0.6502566637384563,-0.003751868766352362,0.027538251803838194,-0.006714863744139991,2.580397095284621,-0.014918758349913741
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,126,0.21985698063805034,-0.001986310134232311,0.6304415452492664,-0.004475058224580608,0.0222875752765181,-0.006759479752619216,2.281547493751096,-0.015226183330057541
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,126,0.2208118060400932,-0.0010314847321894471,0.6326258075659988,-0.0022907959078481976,0.024401079670878005,-0.004645975358259311,2.2881908393568624,-0.008582837724290915
