row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
PITCHER,home_starter_prior_starts,641712,16,final_total,,,,ABSENT,0.3136295517541055,1.9333333333333333,0.2202004912195614,0.21208373445723944,0.5981408258115852
PITCHER,home_starter_prior_starts,641743,10,final_total,,,,ABSENT,-0.4751365510939068,1.7777777777777777,-0.4772652894118068,-0.4905664951474114,-0.7411802576724457
PITCHER,home_starter_prior_starts,641778,17,final_total,,,,ABSENT,0.31290942085429785,2.25,0.37694187527864204,0.3405225939038493,-0.09024996454093057
PITCHER,home_starter_prior_starts,641793,44,final_total,,,,ABSENT,0.1998077392102878,2.0232558139534884,0.14409737366443312,0.14011047423030676,0.5091624882889795
PITCHER,home_starter_prior_starts,641816,24,final_total,,,,ABSENT,0.04794014648111024,1.6956521739130435,0.17188867771586683,0.11081048725789784,-0.06744096063069159
PITCHER,home_starter_prior_starts,641927,53,final_total,,,,ABSENT,0.24053585228149826,1.9038461538461537,0.2512976147692798,0.22942647815623746,0.729039937729531
PITCHER,home_starter_prior_starts,642547,63,final_total,,,,ABSENT,-0.0698023781656574,1.8709677419354838,-0.0383480576938916,-0.05173865936017752,-0.29614769519163525
PITCHER,home_starter_prior_starts,643377,11,final_total,,,,ABSENT,-0.000705207044009261,1.9,0.05952828094423556,0.03232432657625628,0.5785074508173197
PITCHER,home_starter_prior_starts,645261,41,final_total,,,,ABSENT,0.016633410564355446,2.025,0.04546698312271934,-0.004913299740856208,-0.05019348451030676
PITCHER,home_starter_prior_starts,647336,23,final_total,,,,ABSENT,-0.4858286117805305,2.0,-0.46395372200831514,-0.5003848669118423,-0.8086543535067781
PITCHER,home_starter_prior_starts,650633,39,final_total,,,,ABSENT,-0.2208096601549993,1.9473684210526316,-0.15670637857966097,-0.17772758522673004,-0.2296002602655526
PITCHER,home_starter_prior_starts,650644,44,final_total,,,,ABSENT,0.04934094433081351,1.9767441860465116,-0.0664213438895205,-0.04088468613300082,0.790314091532189
PITCHER,home_starter_prior_starts,650911,58,final_total,,,,ABSENT,0.08584668906028092,1.7894736842105263,0.12244256753246505,0.10734297015812813,-0.686398090517218
