provider_event_id,game_pk,raw_provider_player_name,normalized_provider_name,official_player_name,normalized_official_name,player_mlb_id,normalization_operations,candidate_count_before_normalization,candidate_count_after_normalization,decision,reason,side,line,price,source_observed_at_utc,raw_payload_path,raw_payload_sha256
2803bb8e96c2e13f37418f06bbba2ead,824242,Ben Malgeri,ben malgeri,Ben Malgeri,ben malgeri,701162,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-149,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Ben Malgeri,ben malgeri,Ben Malgeri,ben malgeri,701162,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,115,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Coby Mayo,coby mayo,Coby Mayo,coby mayo,691723,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-123,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Coby Mayo,coby mayo,Coby Mayo,coby mayo,691723,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,-105,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Riley Greene,riley greene,Riley Greene,riley greene,682985,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,158,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Riley Greene,riley greene,Riley Greene,riley greene,682985,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-208,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Javier Baez,javier baez,Javier Báez,javier baez,595879,accent_insensitive|casefold,0,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,149,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Javier Baez,javier baez,Javier Báez,javier baez,595879,accent_insensitive|casefold,0,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-196,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Spencer Torkelson,spencer torkelson,Spencer Torkelson,spencer torkelson,679529,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,124,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Spencer Torkelson,spencer torkelson,Spencer Torkelson,spencer torkelson,679529,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-161,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
2803bb8e96c2e13f37418f06bbba2ead,824242,Dillon Dingler,dillon dingler,Dillon Dingler,dillon dingler,693307,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,113,2026-07-29T03:47:01Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034613Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,79817547b8a9b8ab2fe299a6733689a3275f3aed29caad42fabf412b9412e4b1
